Game Turn, Player, City, Food Adv., Prod. Adv., Construct, Order Source
227, 1, LOC_CITY_NAME_IWNW, , CONTRACT 3087, SUBMITTED, NO_UNIT, BUILDING_BARRACKS, NO_DISTRICT, VALUE 0.0, Seek Target Wonder
227, 2, LOC_CITY_NAME_FORTALEZA, , CONTRACT 3090, SUBMITTED, NO_UNIT, NO_BUILDING, DISTRICT_INDUSTRIAL_ZONE, VALUE 827.0, Build City District
227, 2, LOC_CITY_NAME_RIO_DE_JANEIRO, , CONTRACT 3091, SUBMITTED, UNIT_BUILDER, NO_BUILDING, NO_DISTRICT, VALUE 244.0, Build City Improvement
227, 2, LOC_CITY_NAME_SAO_PAULO, , CONTRACT 3091, SUBMITTED, UNIT_BUILDER, NO_BUILDING, NO_DISTRICT, VALUE 244.0, Build City Improvement
227, 2, LOC_CITY_NAME_SALVADOR, , CONTRACT 3091, SUBMITTED, UNIT_BUILDER, NO_BUILDING, NO_DISTRICT, VALUE 244.0, Build City Improvement
227, 2, LOC_CITY_NAME_MANAUS, , CONTRACT 3091, SUBMITTED, UNIT_BUILDER, NO_BUILDING, NO_DISTRICT, VALUE 244.0, Build City Improvement
227, 2, LOC_CITY_NAME_FORTALEZA, , CONTRACT 3091, SUBMITTED, UNIT_BUILDER, NO_BUILDING, NO_DISTRICT, VALUE 244.0, Build City Improvement
227, 2, LOC_CITY_NAME_CURITIBA, , CONTRACT 3091, SUBMITTED, UNIT_BUILDER, NO_BUILDING, NO_DISTRICT, VALUE 244.0, Build City Improvement
227, 2, LOC_CITY_NAME_NATAL, , CONTRACT 3091, SUBMITTED, UNIT_BUILDER, NO_BUILDING, NO_DISTRICT, VALUE 244.0, Build City Improvement
227, 4, LOC_CITY_NAME_TOKYO, , CONTRACT 3095, SUBMITTED, NO_UNIT, BUILDING_TEMPLE, NO_DISTRICT, VALUE 717.0, Build City Building
227, 4, LOC_CITY_NAME_KYOTO, , CONTRACT 3096, SUBMITTED, NO_UNIT, NO_BUILDING, DISTRICT_HOLY_SITE, VALUE 2260.0, Seek Target Wonder
227, 5, LOC_CITY_NAME_CHANGSHA, , , BUILDING_UNIVERSITY, Default Specialization, , , Value 515.7
227, 5, LOC_CITY_NAME_HANDAN, , CONTRACT 3098, SUBMITTED, NO_UNIT, NO_BUILDING, DISTRICT_COMMERCIAL_HUB, VALUE 889.0, Build City District
227, 5, LOC_CITY_NAME_XIAN, , CONTRACT 3099, SUBMITTED, UNIT_BUILDER, NO_BUILDING, NO_DISTRICT, VALUE 175.0, Build City Improvement
227, 5, LOC_CITY_NAME_BEIJING, , CONTRACT 3099, SUBMITTED, UNIT_BUILDER, NO_BUILDING, NO_DISTRICT, VALUE 175.0, Build City Improvement
227, 5, LOC_CITY_NAME_TAIYUAN, , CONTRACT 3099, SUBMITTED, UNIT_BUILDER, NO_BUILDING, NO_DISTRICT, VALUE 175.0, Build City Improvement
227, 5, LOC_CITY_NAME_CHANGSHA, , CONTRACT 3099, SUBMITTED, UNIT_BUILDER, NO_BUILDING, NO_DISTRICT, VALUE 175.0, Build City Improvement
227, 5, LOC_CITY_NAME_HANDAN, , CONTRACT 3099, SUBMITTED, UNIT_BUILDER, NO_BUILDING, NO_DISTRICT, VALUE 175.0, Build City Improvement
227, 5, LOC_CITY_NAME_JIAODONG, , CONTRACT 3099, SUBMITTED, UNIT_BUILDER, NO_BUILDING, NO_DISTRICT, VALUE 175.0, Build City Improvement
