Game Turn, Player, Operation, Notes, Team, Team Notes, Team Members, Terrain
227, 1, Operation Attack Barb Camp running
227, 1, Attack Barb Camp, ,0, Ready, UNIT_SPEARMAN; 
227, 1, Operation Settle New City running
227, 1, Settle New City, ,0, Not Ready, 
227, 1, Settle New City, No recruits to reach minimum, , , 
227, 1, Settle New City, Operation Recruit, 0 units, Recruited 0, Contract for: UNIT_LINE_INFANTRY
227, 1, Attack Barb Camp, No recruits to reach minimum, , , 
227, 1, Attack Barb Camp, No recruits to match strength, , Enemy Str: 22.5, 
227, 1, Attack Barb Camp, Operation Recruit, 1 units, Recruited 0, Contract for: UNIT_BOMBARD
227, 1, Attack Barb Camp, Attack Target Move Direct, UNIT_SPEARMAN, At 52:28, Move -9999:-9999, Arrive 52:28
227, 1, Attack Barb Camp, Attack Target Melee Attack, UNIT_SPEARMAN, At 52:28
227, 2, Operation Attack Barb Camp running
227, 2, Attack Barb Camp, ,0, Not Ready, 
227, 2, Operation Settle New City running
227, 2, Settle New City, ,0, Ready, UNIT_KNIGHT; UNIT_SETTLER; 
227, 2, Settle New City, No recruits to reach minimum, , , 
227, 2, Settle New City, No recruits to match strength, , Enemy Str: 50.0, 
227, 2, Settle New City, No recruits to reach minimum, , , 
227, 2, Settle New City, No recruits to match strength, , Enemy Str: 50.0, 
227, 2, Settle New City, Operation Recruit, 2 units, Recruited 0, Contract for: UNIT_FIELD_CANNON
227, 2, Settle New City, Operation Protect Units, UNIT_KNIGHT, Fortify
227, 2, Settle New City, Operation Move, UNIT_SETTLER, 29:26, 36:26, 30:26
227, 2, Attack Barb Camp, No recruits to reach minimum, , , 
227, 2, Attack Barb Camp, No recruits to reach minimum, , , 
227, 2, Attack Barb Camp, Operation Recruit, 0 units, Recruited 0, Contract for: UNIT_FIELD_CANNON
227, 3, Operation Settle New City running
227, 3, Settle New City, ,0, Not Ready, 
227, 3, Operation Naval Superiority running
227, 3, Naval Superiority, ,0, Not Ready, 
227, 3, Naval Superiority, No recruits to reach minimum, , , 
227, 3, Naval Superiority, No recruits to reach minimum, , , 
