Game Turn, Player, Action, Tech, Score
227, 1, Tech, TECH_POTTERY, 0.0, OWNED
227, 1, Tech, TECH_ANIMAL_HUSBANDRY, 0.0, OWNED
227, 1, Tech, TECH_MINING, 0.0, OWNED
227, 1, Tech, TECH_SAILING, 0.0, OWNED
227, 1, Tech, TECH_ASTROLOGY, 0.0, OWNED
227, 1, Tech, TECH_IRRIGATION, 0.0, OWNED
227, 1, Tech, TECH_ARCHERY, 0.0, OWNED
227, 1, Tech, TECH_WRITING, 0.0, OWNED
227, 1, Tech, TECH_MASONRY, 0.0, OWNED
227, 1, Tech, TECH_BRONZE_WORKING, 0.0, OWNED
227, 1, Tech, TECH_THE_WHEEL, 0.0, OWNED
227, 1, Tech, TECH_CELESTIAL_NAVIGATION, 514.2, 
227, 1, Tech, TECH_CURRENCY, 0.0, OWNED
227, 1, Tech, TECH_HORSEBACK_RIDING, 0.0, OWNED
227, 1, Tech, TECH_IRON_WORKING, 0.0, OWNED
227, 1, Tech, TECH_SHIPBUILDING, 469.4, 
227, 1, Tech, TECH_MATHEMATICS, 0.0, OWNED
227, 1, Tech, TECH_CONSTRUCTION, 0.0, OWNED
227, 1, Tech, TECH_ENGINEERING, 0.0, OWNED
227, 1, Tech, TECH_MILITARY_TACTICS, 0.0, OWNED
227, 1, Tech, TECH_APPRENTICESHIP, 0.0, OWNED
227, 1, Tech, TECH_MACHINERY, 0.0, OWNED
227, 1, Tech, TECH_EDUCATION, 0.0, OWNED
227, 1, Tech, TECH_STIRRUPS, 0.0, OWNED
227, 1, Tech, TECH_MILITARY_ENGINEERING, 0.0, OWNED
227, 1, Tech, TECH_CASTLES, 0.0, OWNED
227, 1, Tech, TECH_CARTOGRAPHY, 659.0, 
227, 1, Tech, TECH_MASS_PRODUCTION, 704.4, 
227, 1, Tech, TECH_BANKING, 289.4, BOOSTED
227, 1, Tech, TECH_GUNPOWDER, 0.0, OWNED
227, 1, Tech, TECH_PRINTING, 0.0, OWNED
227, 1, Tech, TECH_SQUARE_RIGGING, 810.2, 
227, 1, Tech, TECH_ASTRONOMY, 1033.5, RESEARCHING
227, 1, Tech, TECH_METAL_CASTING, 0.0, OWNED
227, 1, Tech, TECH_SIEGE_TACTICS, 0.0, OWNED
227, 1, Tech, TECH_SCIENTIFIC_THEORY, 699.0, BOOSTED
227, 1, Tech, TECH_BALLISTICS, 0.0, OWNED
227, 1, Tech, TECH_MILITARY_SCIENCE, 0.0, OWNED
227, 1, Tech, TECH_SANITATION, 809.2, 
227, 1, Tech, TECH_ECONOMICS, 825.5, 
227, 1, Tech, TECH_RIFLING, 0.0, OWNED
227, 1, Tech, TECH_STEEL, 406.9, 
227, 1, Tech, TECH_COMBUSTION, 501.0, 
227, 1, Tech, TECH_COMBINED_ARMS, 921.3, 
227, 1, Tech, TECH_PLASTICS, 536.2, 
227, 1, Contract 1764
227, 1, Contract 2888
227, 1, Contract 2889
227, 2, Tech, TECH_POTTERY, 0.0, OWNED
227, 2, Tech, TECH_ANIMAL_HUSBANDRY, 0.0, OWNED
227, 2, Tech, TECH_MINING, 0.0, OWNED
227, 2, Tech, TECH_SAILING, 0.0, OWNED
227, 2, Tech, TECH_ASTROLOGY, 0.0, OWNED
227, 2, Tech, TECH_IRRIGATION, 0.0, OWNED
227, 2, Tech, TECH_ARCHERY, 0.0, OWNED
227, 2, Tech, TECH_WRITING, 0.0, OWNED
227, 2, Tech, TECH_MASONRY, 0.0, OWNED
227, 2, Tech, TECH_BRONZE_WORKING, 0.0, OWNED
227, 2, Tech, TECH_THE_WHEEL, 0.0, OWNED
227, 2, Tech, TECH_CELESTIAL_NAVIGATION, 0.0, OWNED
227, 2, Tech, TECH_CURRENCY, 0.0, OWNED
227, 2, Tech, TECH_HORSEBACK_RIDING, 0.0, OWNED
227, 2, Tech, TECH_IRON_WORKING, 0.0, OWNED
227, 2, Tech, TECH_SHIPBUILDING, 0.0, OWNED
227, 2, Tech, TECH_MATHEMATICS, 0.0, OWNED
227, 2, Tech, TECH_CONSTRUCTION, 0.0, OWNED
227, 2, Tech, TECH_ENGINEERING, 0.0, OWNED
227, 2, Tech, TECH_MILITARY_TACTICS, 0.0, OWNED
227, 2, Tech, TECH_APPRENTICESHIP, 0.0, OWNED
