Game Turn, Player, Strategy, Status
228, 0, VICTORY_STRATEGY_SCIENCE_VICTORY, Following
233, 2, STRATEGY_MODERN_CHANGES, Following
234, 2, STRATEGY_RAPID_EXPANSION, Stopped
234, 4, STRATEGY_RENAISSANCE_CHANGES, Following
235, 1, STRATEGY_RAPID_EXPANSION, Stopped
240, 5, VICTORY_STRATEGY_SCIENCE_VICTORY, Stopped
243, 0, VICTORY_STRATEGY_MILITARY_VICTORY, Following
243, 5, STRATEGY_INDUSTRIAL_CHANGES, Following
243, 5, STRATEGY_WONDER_OBSESSED, Following
247, 3, STRATEGY_MODERN_CHANGES, Following
248, 0, VICTORY_STRATEGY_SCIENCE_VICTORY, Stopped
248, 4, VICTORY_STRATEGY_RELIGIOUS_VICTORY, Stopped
252, 1, STRATEGY_MODERN_CHANGES, Following
259, 1, VICTORY_STRATEGY_SCIENCE_VICTORY, Stopped
260, 5, VICTORY_STRATEGY_SCIENCE_VICTORY, Following
261, 4, STRATEGY_NAVAL, Following
262, 1, STRATEGY_NAVAL, Following
265, 1, STRATEGY_RAPID_EXPANSION, Following
268, 0, VICTORY_STRATEGY_SCIENCE_VICTORY, Following
268, 4, VICTORY_STRATEGY_RELIGIOUS_VICTORY, Following
268, 5, STRATEGY_MODERN_CHANGES, Following
272, 2, STRATEGY_RAPID_EXPANSION, Following
279, 1, VICTORY_STRATEGY_SCIENCE_VICTORY, Following
285, 1, STRATEGY_RAPID_EXPANSION, Stopped
288, 0, VICTORY_STRATEGY_SCIENCE_VICTORY, Stopped
293, 0, STRATEGY_INDUSTRIAL_CHANGES, Following
303, 3, VICTORY_STRATEGY_SCIENCE_VICTORY, Stopped
305, 4, STRATEGY_INDUSTRIAL_CHANGES, Following
314, 1, STRATEGY_RAPID_EXPANSION, Following
316, 0, VICTORY_STRATEGY_SCIENCE_VICTORY, Following
319, 2, STRATEGY_NAVAL, Following
325, 3, VICTORY_STRATEGY_SCIENCE_VICTORY, Following
325, 5, STRATEGY_RAPID_EXPANSION, Stopped
334, 1, STRATEGY_RAPID_EXPANSION, Stopped
335, 4, VICTORY_STRATEGY_SCIENCE_VICTORY, Following
336, 0, VICTORY_STRATEGY_SCIENCE_VICTORY, Stopped
336, 2, STRATEGY_RAPID_EXPANSION, Stopped
345, 3, VICTORY_STRATEGY_SCIENCE_VICTORY, Stopped
346, 5, STRATEGY_RAPID_EXPANSION, Following
