Game Turn, Player, Unit, From X, From Y, To X, To Y, Info, Checksum
227, LOC_CIVILIZATION_BARBARIAN_NAME, UNIT_MAN_AT_ARMS (15859747), 62, 7, -9999, -9999, 2833, ffffffff
227, LOC_CIVILIZATION_EGYPT_NAME, UNIT_GREAT_WRITER (2818050), 57, 30, -9999, -9999, 2325, ffffffff
227, LOC_CIVILIZATION_EGYPT_NAME, UNIT_SPEARMAN (1769478), 52, 28, -9999, -9999, 2325, ffffffff
227, LOC_CIVILIZATION_EGYPT_NAME, UNIT_GREAT_WRITER (3211271), 55, 32, -9999, -9999, 2325, ffffffff
227, LOC_CIVILIZATION_EGYPT_NAME, UNIT_SPEARMAN (1769478), 52, 28, 57, 39, 256, ffffffff
227, LOC_CIVILIZATION_EGYPT_NAME, UNIT_SPEARMAN (1769478), 52, 28, 57, 39, 256, ffffffff
227, LOC_CIVILIZATION_BRAZIL_NAME, UNIT_SCOUT (524288), 9, 15, -9999, -9999, 2325, ffffffff
227, LOC_CIVILIZATION_BRAZIL_NAME, UNIT_TRADER (1245185), 21, 25, -9999, -9999, 2325, ffffffff
227, LOC_CIVILIZATION_BRAZIL_NAME, UNIT_SETTLER (2949122), 29, 26, -9999, -9999, 2325, ffffffff
227, LOC_CIVILIZATION_BRAZIL_NAME, UNIT_APOSTLE (2818053), 32, 35, -9999, -9999, 2325, ffffffff
227, LOC_CIVILIZATION_BRAZIL_NAME, UNIT_BUILDER (2752516), 24, 25, -9999, -9999, 2325, ffffffff
227, LOC_CIVILIZATION_BRAZIL_NAME, UNIT_KNIGHT (2686983), 26, 23, -9999, -9999, 2325, ffffffff
227, LOC_CIVILIZATION_BRAZIL_NAME, UNIT_BUILDER (2883592), 28, 24, -9999, -9999, 2325, ffffffff
227, LOC_CIVILIZATION_BRAZIL_NAME, UNIT_GURU (2490374), 26, 23, -9999, -9999, 2325, ffffffff
227, LOC_CIVILIZATION_BRAZIL_NAME, UNIT_SETTLER (2949122), 29, 26, 36, 26, 276, 2deafca0
227, LOC_CIVILIZATION_BRAZIL_NAME, UNIT_SETTLER (2949122), 29, 26, 36, 26, 4353, 2deafca0
227, LOC_CIVILIZATION_BRAZIL_NAME, UNIT_BUILDER (2752516), 24, 25, 20, 26, 4360, 3c320a66
227, LOC_CIVILIZATION_BRAZIL_NAME, UNIT_BUILDER (2883592), 28, 24, 33, 26, 4360, 54e67f38
227, LOC_CIVILIZATION_BRAZIL_NAME, UNIT_SCOUT (524288), 9, 15, -9999, -9999, 2368, ffffffff
227, LOC_CIVILIZATION_BRAZIL_NAME, UNIT_SCOUT (524288), 9, 15, 7, 15, 320, d99a71b7
227, LOC_CIVILIZATION_BRAZIL_NAME, UNIT_SCOUT (524288), 7, 15, -9999, -9999, 2112, ffffffff
227, LOC_CIVILIZATION_BRAZIL_NAME, UNIT_SCOUT (524288), 7, 15, 7, 16, 64, 89810f62
227, LOC_CIVILIZATION_BRAZIL_NAME, UNIT_BUILDER (2752516), 22, 25, 20, 26, 4104, bf8291a2
227, LOC_CIVILIZATION_BRAZIL_NAME, UNIT_BUILDER (2883592), 29, 24, 33, 26, 4104, 77f35f32
227, LOC_CIVILIZATION_SCYTHIA_NAME, UNIT_BUILDER (3145729), 70, 28, -9999, -9999, 2325, ffffffff
227, LOC_CIVILIZATION_SCYTHIA_NAME, UNIT_TRADER (393220), 8, 28, -9999, -9999, 2325, ffffffff
227, LOC_CIVILIZATION_SCYTHIA_NAME, UNIT_APOSTLE (3211264), 8, 23, -9999, -9999, 2325, ffffffff
227, LOC_CIVILIZATION_SCYTHIA_NAME, UNIT_MISSIONARY (3276806), 6, 25, -9999, -9999, 2325, ffffffff
227, LOC_CIVILIZATION_SCYTHIA_NAME, UNIT_APOSTLE (2752521), 29, 35, -9999, -9999, 2325, ffffffff
227, LOC_CIVILIZATION_SCYTHIA_NAME, UNIT_GREAT_ADMIRAL (2424843), 9, 30, -9999, -9999, 2325, ffffffff
227, LOC_CIVILIZATION_SCYTHIA_NAME, UNIT_GURU (1638408), 7, 27, -9999, -9999, 2325, ffffffff
227, LOC_CIVILIZATION_SCYTHIA_NAME, UNIT_BUILDER (3145729), 70, 28, 68, 28, 4360, c7bc80ac
227, LOC_CIVILIZATION_SCYTHIA_NAME, UNIT_APOSTLE (3211264), 8, 23, 69, 11, 4360, 6a096bb4
227, LOC_CIVILIZATION_SCYTHIA_NAME, UNIT_APOSTLE (3211264), 7, 22, 6, 22, 4104,  87245f9
227, LOC_CIVILIZATION_SCYTHIA_NAME, UNIT_MISSIONARY (3276806), 6, 25, 69, 11, 4360, e140067b
227, LOC_CIVILIZATION_SCYTHIA_NAME, UNIT_APOSTLE (2752521), 29, 35, 33, 36, 4360, 5150208b
227, LOC_CIVILIZATION_SCYTHIA_NAME, UNIT_APOSTLE (2752521), 31, 35, 33, 36, 4104, 92901873
227, LOC_CIVILIZATION_SCYTHIA_NAME, UNIT_GREAT_ADMIRAL (2424843), 9, 30, 8, 21, 256, ffffffff
227, LOC_CIVILIZATION_SCYTHIA_NAME, UNIT_GREAT_ADMIRAL (2424843), 9, 30, 3, 31, 256, ffffffff
227, LOC_CIVILIZATION_SCYTHIA_NAME, UNIT_MISSIONARY (3276806), 5, 24, 69, 11, 4104, f98ca770
227, LOC_CIVILIZATION_SCYTHIA_NAME, UNIT_APOSTLE (2752521), 31, 35, 33, 36, 4104, 92901873
227, LOC_CIVILIZATION_BARBARIAN_NAME, UNIT_SPEARMAN (327684), 57, 39, -9999, -9999, 2833, ffffffff
227, LOC_CIVILIZATION_BARBARIAN_NAME, UNIT_MUSKETMAN (16580674), 58, 39, -9999, -9999, 2833, ffffffff
227, LOC_CIVILIZATION_JAPAN_NAME, UNIT_MISSIONARY (3014657), 66, 32, -9999, -9999, 2325, ffffffff
227, LOC_CIVILIZATION_JAPAN_NAME, UNIT_TRADER (1769474), 62, 30, -9999, -9999, 2325, ffffffff
227, LOC_CIVILIZATION_JAPAN_NAME, UNIT_TRADER (2818055), 62, 30, -9999, -9999, 2325, ffffffff
227, LOC_CIVILIZATION_JAPAN_NAME, UNIT_BOMBARD (2686982), 64, 30, -9999, -9999, 2325, ffffffff
227, LOC_CIVILIZATION_JAPAN_NAME, UNIT_MISSIONARY (2883592), 65, 17, -9999, -9999, 2325, ffffffff
227, LOC_CIVILIZATION_JAPAN_NAME, UNIT_BUILDER (2949129), 62, 32, -9999, -9999, 2325, ffffffff
227, LOC_CIVILIZATION_JAPAN_NAME, UNIT_BOMBARD (2686982), 64, 30, 52, 30, 4353, ffffffff
227, LOC_CIVILIZATION_JAPAN_NAME, UNIT_BUILDER (2949129), 62, 32, 65, 27, 4096,  ba2d6b0
227, LOC_CIVILIZATION_JAPAN_NAME, UNIT_MISSIONARY (3014657), 66, 32, 69, 11, 4360, ad8efc4f
227, LOC_CIVILIZATION_JAPAN_NAME, UNIT_MISSIONARY (2883592), 65, 17, 69, 11, 4360, 9ea62061
227, LOC_CIVILIZATION_BARBARIAN_NAME, UNIT_SCOUT (17104912), 28, 16, -9999, -9999, 2833, ffffffff
227, LOC_CIVILIZATION_BARBARIAN_NAME, UNIT_TREBUCHET (16449595), 28, 15, -9999, -9999, 2833, ffffffff
227, LOC_CIVILIZATION_CHINA_NAME, UNIT_PIKEMAN (1572864), 73, 23, -9999, -9999, 2325, ffffffff
227, LOC_CIVILIZATION_CHINA_NAME, UNIT_BUILDER (1900545), 26, 32, -9999, -9999, 2325, ffffffff
227, LOC_CIVILIZATION_CHINA_NAME, UNIT_TRADER (1966082), 29, 34, -9999, -9999, 2325, ffffffff
227, LOC_CIVILIZATION_CHINA_NAME, UNIT_BUILDER (2031620), 32, 35, -9999, -9999, 2325, ffffffff
227, LOC_CIVILIZATION_CHINA_NAME, UNIT_BUILDER (1900545), 26, 32, 21, 29, 4360, b23e9997
227, LOC_CIVILIZATION_CHINA_NAME, UNIT_BUILDER (2031620), 32, 35, 26, 30, 4360, 4e25c4ce
227, LOC_CIVILIZATION_CHINA_NAME, UNIT_PIKEMAN (1572864), 73, 23, -9999, -9999, 2368, ffffffff
227, LOC_CIVILIZATION_CHINA_NAME, UNIT_PIKEMAN (1572864), 73, 23, 73, 24, 320, a015ea87
227, LOC_CIVILIZATION_CHINA_NAME, UNIT_PIKEMAN (1572864), 73, 24, -9999, -9999, 2112, ffffffff
227, LOC_CIVILIZATION_CHINA_NAME, UNIT_PIKEMAN (1572864), 73, 24, 72, 23, 64, 1a714403
227, LOC_CIVILIZATION_BARBARIAN_NAME, UNIT_SPEARMAN (327684), 57, 39, -9999, -9999, 2833, ffffffff
227, LOC_CIVILIZATION_BARBARIAN_NAME, UNIT_MUSKETMAN (16580674), 58, 39, -9999, -9999, 2833, ffffffff
227, LOC_CIVILIZATION_BRUSSELS_NAME, UNIT_GALLEY (458752), 69, 40, -9999, -9999, 2325, ffffffff
227, LOC_CIVILIZATION_BRUSSELS_NAME, UNIT_TRADER (589825), 70, 33, -9999, -9999, 2325, ffffffff
227, LOC_CIVILIZATION_BRUSSELS_NAME, UNIT_PIKEMAN (1179652), 56, 39, -9999, -9999, 2325, ffffffff
227, LOC_CIVILIZATION_BRUSSELS_NAME, UNIT_TRADER (1048581), 10, 27, -9999, -9999, 2325, ffffffff
227, LOC_CIVILIZATION_BRUSSELS_NAME, UNIT_SETTLER (1245190), 69, 33, -9999, -9999, 2325, ffffffff
227, LOC_CIVILIZATION_BRUSSELS_NAME, UNIT_PIKEMAN (1179652), 56, 39, 57, 38, 256, 3ef0ecc0
227, LOC_CIVILIZATION_LA_VENTA_NAME, UNIT_TRADER (786433), 27, 23, -9999, -9999, 2325, ffffffff
227, LOC_CIVILIZATION_LA_VENTA_NAME, UNIT_MAN_AT_ARMS (917506), 29, 21, -9999, -9999, 2325, ffffffff
227, LOC_CIVILIZATION_LA_VENTA_NAME, UNIT_TREBUCHET (1114115), 31, 21, -9999, -9999, 2325, ffffffff
227, LOC_CIVILIZATION_LA_VENTA_NAME, UNIT_BUILDER (1048580), 32, 22, -9999, -9999, 2325, ffffffff
227, LOC_CIVILIZATION_LA_VENTA_NAME, UNIT_CROSSBOWMAN (983045), 28, 21, -9999, -9999, 2325, ffffffff
227, LOC_CIVILIZATION_LA_VENTA_NAME, UNIT_TREBUCHET (851974), 34, 22, -9999, -9999, 2325, ffffffff
227, LOC_CIVILIZATION_LA_VENTA_NAME, UNIT_MAN_AT_ARMS (917506), 29, 21, 31, 20, 4360, 7b0fb3e8
227, LOC_CIVILIZATION_LA_VENTA_NAME, UNIT_TREBUCHET (1114115), 31, 21, 32, 20, 256, c423a390
227, LOC_CIVILIZATION_LA_VENTA_NAME, UNIT_CROSSBOWMAN (983045), 28, 21, 30, 21, 256, 395bf43f
227, LOC_CIVILIZATION_LA_VENTA_NAME, UNIT_TREBUCHET (851974), 34, 22, 33, 21, 256, eab90314
227, LOC_CIVILIZATION_NORWAY_NAME, UNIT_ARCHER (1638405), 57, 18, -9999, -9999, 2833, ffffffff
227, LOC_CIVILIZATION_KANDY_NAME, UNIT_TRADER (393219), 66, 22, -9999, -9999, 2325, ffffffff
227, LOC_CIVILIZATION_KANDY_NAME, UNIT_TRADER (655364), 56, 19, -9999, -9999, 2325, ffffffff
227, LOC_CIVILIZATION_KANDY_NAME, UNIT_TREBUCHET (786438), 60, 18, -9999, -9999, 2325, ffffffff
227, LOC_CIVILIZATION_KANDY_NAME, UNIT_BUILDER (1048583), 58, 17, -9999, -9999, 2325, ffffffff
227, LOC_CIVILIZATION_STOCKHOLM_NAME, UNIT_BOMBARD (1179652), 21, 22, -9999, -9999, 2325, ffffffff
227, LOC_CIVILIZATION_STOCKHOLM_NAME, UNIT_BUILDER (1114118), 22, 19, -9999, -9999, 2325, ffffffff
227, LOC_CIVILIZATION_STOCKHOLM_NAME, UNIT_BOMBARD (1179652), 21, 22, -9999, -9999, 2325, ffffffff
227, LOC_CIVILIZATION_STOCKHOLM_NAME, UNIT_BOMBARD (1179652), 21, 22, 20, 21, 256, 4a689e15
227, LOC_CIVILIZATION_STOCKHOLM_NAME, UNIT_BOMBARD (1179652), 20, 21, 21, 20, 4096, de0f7988
227, LOC_CIVILIZATION_BARBARIAN_NAME, UNIT_SCOUT (17104912), 28, 16, -9999, -9999, 2833, ffffffff
227, LOC_CIVILIZATION_BARBARIAN_NAME, UNIT_TREBUCHET (16449595), 28, 15, -9999, -9999, 2833, ffffffff
227, LOC_CIVILIZATION_AMSTERDAM_NAME, UNIT_TRADER (327680), 19, 30, -9999, -9999, 2325, ffffffff
227, LOC_CIVILIZATION_AMSTERDAM_NAME, UNIT_GALLEY (262146), 20, 33, -9999, -9999, 2325, ffffffff
227, LOC_CIVILIZATION_AMSTERDAM_NAME, UNIT_BUILDER (655363), 20, 31, -9999, -9999, 2325, ffffffff
227, LOC_CIVILIZATION_AMSTERDAM_NAME, UNIT_TRADER (589828), 28, 28, -9999, -9999, 2325, ffffffff
227, LOC_CIVILIZATION_AMSTERDAM_NAME, UNIT_GALLEY (524293), 33, 19, -9999, -9999, 2325, ffffffff
227, LOC_CIVILIZATION_AMSTERDAM_NAME, UNIT_MAN_AT_ARMS (720902), 27, 14, -9999, -9999, 2325, ffffffff
227, LOC_CIVILIZATION_AMSTERDAM_NAME, UNIT_TREBUCHET (786433), 26, 14, -9999, -9999, 2325, ffffffff
227, LOC_CIVILIZATION_AMSTERDAM_NAME, UNIT_PIKEMAN (851975), 23, 34, -9999, -9999, 2325, ffffffff
