Game Turn, City, Production Added, Current Item, Current Production, Production Needed, Overflow
227, LOC_CITY_NAME_RA_KEDET, 17.6, BUILDING_SHRINE, 68.2, 70, 0.0
227, LOC_CITY_NAME_AKHETATEN, 9.0, BUILDING_MAHABODHI_TEMPLE, 161.1, 400, 0.0
227, LOC_CITY_NAME_MEMPHIS, 16.3, UNIT_SETTLER, 209.7, 260, 0.0
227, LOC_CITY_NAME_IWNW, 6.6, DISTRICT_THEATER, 63.6, 272, 0.0
227, LOC_CITY_NAME_MENDES, 6.3, BUILDING_STAR_FORT, 17.7, 305, 0.0
227, LOC_CITY_NAME_RIO_DE_JANEIRO, 20.8, BUILDING_OXFORD_UNIVERSITY, 1124.4, 1240, 0.0
227, LOC_CITY_NAME_SAO_PAULO, 25.0, PROJECT_ENHANCE_DISTRICT_CAMPUS, 162.3, 217, 0.0
227, LOC_CITY_NAME_SALVADOR, 9.6, BUILDING_UNIVERSITY, 117.7, 250, 0.0
227, LOC_CITY_NAME_MANAUS, 12.5, BUILDING_MAHABODHI_TEMPLE, 68.2, 400, 0.0
227, LOC_CITY_NAME_FORTALEZA, 12.5, BUILDING_STAR_FORT, 12.5, 305, 0.0
227, LOC_CITY_NAME_CURITIBA, 8.4, DISTRICT_CAMPUS, 160.8, 297, 0.0
227, LOC_CITY_NAME_PORTO_ALEGRE, 2.5, UNIT_BUILDER, 34.1, 102, 0.0
227, LOC_CITY_NAME_NATAL, 6.3, DISTRICT_STREET_CARNIVAL, 86.7, 89, 0.0
227, LOC_CITY_NAME_POKROVKA, 11.5, UNIT_SETTLER, 119.5, 260, 0.0
227, LOC_CITY_NAME_ISSYK, 5.7, BUILDING_CASTLE, 71.7, 225, 0.0
227, LOC_CITY_NAME_NEAPOLIS, 34.3, BUILDING_OXFORD_UNIVERSITY, 324.2, 1240, 0.0
227, LOC_CITY_NAME_KUL_OBA, 6.3, DISTRICT_HARBOR, 53.0, 267, 0.0
227, LOC_CITY_NAME_KYOTO, 43.3, UNIT_KNIGHT, 43.3, 180, 0.0
227, LOC_CITY_NAME_TOKYO, 3.6, UNIT_SETTLER, 127.2, 170, 0.0
227, LOC_CITY_NAME_OSAKA, 10.0, BUILDING_TEMPLE, 116.4, 120, 0.0
227, LOC_CITY_NAME_XIAN, 34.5, BUILDING_STAR_FORT, 34.5, 305, 0.0
227, LOC_CITY_NAME_BEIJING, 24.4, BUILDING_STAR_FORT, 191.1, 305, 0.0
227, LOC_CITY_NAME_TAIYUAN, 5.6, UNIT_SETTLER, 98.0, 230, 0.0
227, LOC_CITY_NAME_CHANGSHA, 6.3, BUILDING_LIBRARY, 90.8, 90, 0.8
227, LOC_CITY_NAME_HANDAN, 12.5, BUILDING_UNIVERSITY, 218.0, 250, 0.0
227, LOC_CITY_NAME_JIAODONG, 8.8, UNIT_TRADER, 72.8, 90, 0.0
227, LOC_CITY_NAME_BRUSSELS, 3.6, PROJECT_ENHANCE_DISTRICT_HARBOR, 80.1, 151, 0.0
227, LOC_CITY_NAME_LA_VENTA, 40.5, BUILDING_STAR_FORT, 124.0, 305, 0.0
227, LOC_CITY_NAME_KANDY, 13.5, UNIT_CROSSBOWMAN, 81.0, 180, 0.0
227, LOC_CITY_NAME_STOCKHOLM, 8.4, UNIT_TRADER, 87.7, 89, 0.0
227, LOC_CITY_NAME_AMSTERDAM, 5.4, PROJECT_ENHANCE_DISTRICT_HARBOR, 120.8, 158, 0.0
227, LOC_CITY_NAME_CARTHAGE, 6.3, PROJECT_ENHANCE_DISTRICT_HARBOR, 23.1, 168, 0.0
227, LOC_CITY_NAME_SEOUL, 15.7, UNIT_PIKEMAN, 15.7, 200, 0.0
227, LOC_CITY_NAME_NAN_MADOL, 13.2, BUILDING_CASTLE, 204.5, 225, 0.0
228, LOC_CITY_NAME_NIDAROS, 21.6, BUILDING_UNIVERSITY, 121.3, 250, 0.0
228, LOC_CITY_NAME_KRISTIANSAND, 8.6, UNIT_MUSKETMAN, 183.7, 240, 0.0
228, LOC_CITY_NAME_BUENOS_AIRES, 6.3, BUILDING_PETRA, 140.7, 400, 0.0
228, LOC_CITY_NAME_SENA, 0.9, BUILDING_HUEY_TEOCALLI, 22.4, 710, 0.0
228, LOC_CITY_NAME_THEBES, 0.8, BUILDING_GRANARY, 16.4, 65, 0.0
228, LOC_CITY_NAME_RA_KEDET, 14.4, BUILDING_SHRINE, 82.6, 70, 10.8
228, LOC_CITY_NAME_AKHETATEN, 9.0, BUILDING_MAHABODHI_TEMPLE, 170.1, 400, 0.0
228, LOC_CITY_NAME_MEMPHIS, 15.6, UNIT_SETTLER, 225.3, 260, 0.0
228, LOC_CITY_NAME_IWNW, 6.6, DISTRICT_THEATER, 70.2, 272, 0.0
228, LOC_CITY_NAME_MENDES, 6.3, BUILDING_STAR_FORT, 23.9, 305, 0.0
228, LOC_CITY_NAME_RIO_DE_JANEIRO, 22.1, BUILDING_OXFORD_UNIVERSITY, 1146.5, 1240, 0.0
228, LOC_CITY_NAME_SAO_PAULO, 26.3, PROJECT_ENHANCE_DISTRICT_CAMPUS, 188.5, 217, 0.0
228, LOC_CITY_NAME_SALVADOR, 10.8, BUILDING_UNIVERSITY, 128.5, 250, 0.0
228, LOC_CITY_NAME_MANAUS, 13.7, BUILDING_MAHABODHI_TEMPLE, 81.9, 400, 0.0
228, LOC_CITY_NAME_FORTALEZA, 15.0, BUILDING_STAR_FORT, 27.5, 305, 0.0
228, LOC_CITY_NAME_CURITIBA, 9.6, DISTRICT_CAMPUS, 170.4, 297, 0.0
228, LOC_CITY_NAME_PORTO_ALEGRE, 3.8, UNIT_BUILDER, 37.9, 102, 0.0
228, LOC_CITY_NAME_NATAL, 7.5, DISTRICT_STREET_CARNIVAL, 94.2, 89, 5.2
228, LOC_CITY_NAME_POKROVKA, 12.6, UNIT_SETTLER, 132.1, 260, 0.0
228, LOC_CITY_NAME_ISSYK, 5.7, BUILDING_CASTLE, 77.4, 225, 0.0
228, LOC_CITY_NAME_NEAPOLIS, 34.3, BUILDING_OXFORD_UNIVERSITY, 358.4, 1240, 0.0
228, LOC_CITY_NAME_KUL_OBA, 6.3, DISTRICT_HARBOR, 59.3, 267, 0.0
228, LOC_CITY_NAME_KYOTO, 36.0, UNIT_KNIGHT, 79.3, 180, 0.0
228, LOC_CITY_NAME_TOKYO, 3.6, UNIT_SETTLER, 130.8, 170, 0.0
228, LOC_CITY_NAME_OSAKA, 11.3, BUILDING_TEMPLE, 127.7, 120, 7.7
228, LOC_CITY_NAME_XIAN, 23.1, BUILDING_STAR_FORT, 57.6, 305, 0.0
228, LOC_CITY_NAME_BEIJING, 24.4, BUILDING_STAR_FORT, 215.5, 305, 0.0
228, LOC_CITY_NAME_TAIYUAN, 5.6, UNIT_SETTLER, 103.6, 230, 0.0
228, LOC_CITY_NAME_CHANGSHA, 7.0, BUILDING_UNIVERSITY, 7.0, 250, 0.0
228, LOC_CITY_NAME_HANDAN, 12.5, BUILDING_UNIVERSITY, 230.5, 250, 0.0
228, LOC_CITY_NAME_JIAODONG, 8.8, UNIT_TRADER, 81.5, 90, 0.0
228, LOC_CITY_NAME_BRUSSELS, 3.6, PROJECT_ENHANCE_DISTRICT_HARBOR, 83.7, 151, 0.0
228, LOC_CITY_NAME_LA_VENTA, 52.2, BUILDING_STAR_FORT, 176.2, 305, 0.0
228, LOC_CITY_NAME_KANDY, 10.8, UNIT_CROSSBOWMAN, 91.8, 180, 0.0
