Game Turn, From, To, Initiator, Type, SubType, Message
229, 4, 2, ?, SET_DELEGATION, ffffffff, ?, Processing Action From AI to AI
230, 2, 3, -1, DIPLOMATIC_KUDO, NONE, 00000000, Requesting Session (B)
230, 2, 3, ?, MAKE_PROMISE, ffffffff, ?, Processing Action From AI to AI
230, 2, 3, -1, DIPLOMATIC_KUDO, NONE, INITIAL, Requesting session between two AIs!
232, 5, 2, -1, DIPLOMATIC_WARNING, NONE, 00000000, Requesting Session (B)
232, 5, 2, ?, MAKE_PROMISE, ffffffff, ?, Processing Action From AI to AI
232, 5, 2, -1, DIPLOMATIC_WARNING, NONE, INITIAL, Requesting session between two AIs!
232, 2, 0, -1, FIRST_MEET_NEAR_INITIATOR, NONE, 00000000, Requesting Session (B)
232, 2, 0, 2, FIRST_MEET_NEAR_INITIATOR, NONE, INITIAL, Adding to pending
232, 2, 0, 2, FIRST_MEET_NEAR_INITIATOR, NONE, INITIAL, Processing Statement
232, 2, 0, 2, FIRST_MEET_NEAR_INITIATOR, NONE, INITIAL, Processing Immediately
232, 0, 2, 2, FIRST_MEET_NEAR_INITIATOR, NONE, POSITIVE, Adding to pending
232, 0, 2, 2, FIRST_MEET_NEAR_INITIATOR, NONE, POSITIVE, Broadcasting
232, 0, 2, 2, FIRST_MEET_NEAR_INITIATOR, NONE, POSITIVE, Processing Statement
232, 0, 2, 2, FIRST_MEET_NEAR_INITIATOR, NONE, POSITIVE, Processing Immediately
232, 0, 2, ?, STATEMENT_RESULT, ffffffff, ?, Sending Action
232, 2, 0, 2, FIRST_MEET_NEAR_INITIATOR, POSITIVE, POSITIVE, Adding to pending
232, 2, 0, 2, FIRST_MEET_NEAR_INITIATOR, POSITIVE, POSITIVE, Processing Statement
232, 2, 0, 2, FIRST_MEET_NEAR_INITIATOR, POSITIVE, POSITIVE, Processing Immediately
232, 0, 2, ?, STATEMENT_RESULT, ffffffff, ?, Processing Action
232, 5, 4, -1, DIPLOMATIC_HIDDEN_AGENDA_KUDO, NONE, 00000000, Requesting Session (B)
232, 5, 4, ?, MAKE_PROMISE, ffffffff, ?, Processing Action From AI to AI
232, 5, 4, -1, DIPLOMATIC_HIDDEN_AGENDA_KUDO, NONE, INITIAL, Requesting session between two AIs!
234, 1, 2, ?, SET_WAR_STATE, ffffffff, ?, Processing Action From AI to AI
234, 5, 2, ?, SET_WAR_STATE, ffffffff, ?, Processing Action From AI to AI
234, 5, 2, ?, SET_WAR_STATE, ffffffff, ?, Processing Action From AI to AI
234, 1, 2, ?, SET_WAR_STATE, ffffffff, ?, Processing Action From AI to AI
234, 2, 0, ?, DENOUNCE, ffffffff, ?, Processing Action From AI to Human
234, 2, 0, 2, DENOUNCE, NONE, 00000000, Requesting Session (B)
234, 2, 0, 2, DENOUNCE, NONE, INITIAL, Adding to pending
234, 2, 3, ?, DECLARE_FRIEND, ffffffff, ?, Processing Action From AI to AI
234, 2, 0, 2, DENOUNCE, NONE, INITIAL, Processing Statement
234, 2, 0, 2, DENOUNCE, NONE, INITIAL, Processing Immediately
237, 2, 4, ?, SET_EMBASSY, ffffffff, ?, Processing Action From AI to AI
