Turn, PlayerIndex, Control, HeroesDiscovered, HeroesClaimed, HeroesRecalled, DiscoveryOrder
228, 0, Human, 0, 0, 0, Rebuilding Discovery Order
228, 1, AI, 0, 0, 0, Rebuilding Discovery Order
228, 2, AI, 0, 0, 0, Rebuilding Discovery Order
228, 3, AI, 0, 0, 0, Rebuilding Discovery Order
228, 4, AI, 0, 0, 0, Rebuilding Discovery Order
228, 5, AI, 0, 0, 0, Rebuilding Discovery Order
229, 0, Human, 0, 0, 0, Rebuilding Discovery Order
229, 1, AI, 0, 0, 0, Rebuilding Discovery Order
229, 2, AI, 0, 0, 0, Rebuilding Discovery Order
229, 3, AI, 0, 0, 0, Rebuilding Discovery Order
229, 4, AI, 0, 0, 0, Rebuilding Discovery Order
229, 5, AI, 0, 0, 0, Rebuilding Discovery Order
230, 0, Human, 0, 0, 0, Rebuilding Discovery Order
230, 1, AI, 0, 0, 0, Rebuilding Discovery Order
230, 2, AI, 0, 0, 0, Rebuilding Discovery Order
230, 3, AI, 0, 0, 0, Rebuilding Discovery Order
230, 4, AI, 0, 0, 0, Rebuilding Discovery Order
230, 5, AI, 0, 0, 0, Rebuilding Discovery Order
231, 0, Human, 0, 0, 0, Rebuilding Discovery Order
231, 1, AI, 0, 0, 0, Rebuilding Discovery Order
231, 2, AI, 0, 0, 0, Rebuilding Discovery Order
231, 3, AI, 0, 0, 0, Rebuilding Discovery Order
231, 4, AI, 0, 0, 0, Rebuilding Discovery Order
231, 5, AI, 0, 0, 0, Rebuilding Discovery Order
232, 0, Human, 0, 0, 0, Rebuilding Discovery Order
232, 1, AI, 0, 0, 0, Rebuilding Discovery Order
232, 2, AI, 0, 0, 0, Rebuilding Discovery Order
232, 3, AI, 0, 0, 0, Rebuilding Discovery Order
232, 4, AI, 0, 0, 0, Rebuilding Discovery Order
232, 5, AI, 0, 0, 0, Rebuilding Discovery Order
233, 0, Human, 0, 0, 0, Rebuilding Discovery Order
233, 1, AI, 0, 0, 0, Rebuilding Discovery Order
233, 2, AI, 0, 0, 0, Rebuilding Discovery Order
233, 3, AI, 0, 0, 0, Rebuilding Discovery Order
233, 4, AI, 0, 0, 0, Rebuilding Discovery Order
233, 5, AI, 0, 0, 0, Rebuilding Discovery Order
234, 0, Human, 0, 0, 0, Rebuilding Discovery Order
234, 1, AI, 0, 0, 0, Rebuilding Discovery Order
234, 2, AI, 0, 0, 0, Rebuilding Discovery Order
234, 3, AI, 0, 0, 0, Rebuilding Discovery Order
234, 4, AI, 0, 0, 0, Rebuilding Discovery Order
234, 5, AI, 0, 0, 0, Rebuilding Discovery Order
235, 0, Human, 0, 0, 0, Rebuilding Discovery Order
235, 1, AI, 0, 0, 0, Rebuilding Discovery Order
235, 2, AI, 0, 0, 0, Rebuilding Discovery Order
235, 3, AI, 0, 0, 0, Rebuilding Discovery Order
235, 4, AI, 0, 0, 0, Rebuilding Discovery Order
235, 5, AI, 0, 0, 0, Rebuilding Discovery Order
236, 0, Human, 0, 0, 0, Rebuilding Discovery Order
236, 1, AI, 0, 0, 0, Rebuilding Discovery Order
236, 2, AI, 0, 0, 0, Rebuilding Discovery Order
236, 3, AI, 0, 0, 0, Rebuilding Discovery Order
236, 4, AI, 0, 0, 0, Rebuilding Discovery Order
236, 5, AI, 0, 0, 0, Rebuilding Discovery Order
237, 0, Human, 0, 0, 0, Rebuilding Discovery Order
237, 1, AI, 0, 0, 0, Rebuilding Discovery Order
237, 2, AI, 0, 0, 0, Rebuilding Discovery Order
237, 3, AI, 0, 0, 0, Rebuilding Discovery Order
237, 4, AI, 0, 0, 0, Rebuilding Discovery Order
237, 5, AI, 0, 0, 0, Rebuilding Discovery Order
238, 0, Human, 0, 0, 0, Rebuilding Discovery Order
238, 1, AI, 0, 0, 0, Rebuilding Discovery Order
238, 2, AI, 0, 0, 0, Rebuilding Discovery Order
238, 3, AI, 0, 0, 0, Rebuilding Discovery Order
238, 4, AI, 0, 0, 0, Rebuilding Discovery Order
238, 5, AI, 0, 0, 0, Rebuilding Discovery Order
239, 0, Human, 0, 0, 0, Rebuilding Discovery Order
239, 1, AI, 0, 0, 0, Rebuilding Discovery Order
239, 2, AI, 0, 0, 0, Rebuilding Discovery Order
239, 3, AI, 0, 0, 0, Rebuilding Discovery Order
239, 4, AI, 0, 0, 0, Rebuilding Discovery Order
239, 5, AI, 0, 0, 0, Rebuilding Discovery Order
240, 0, Human, 0, 0, 0, Rebuilding Discovery Order
240, 1, AI, 0, 0, 0, Rebuilding Discovery Order
240, 2, AI, 0, 0, 0, Rebuilding Discovery Order
240, 3, AI, 0, 0, 0, Rebuilding Discovery Order
240, 4, AI, 0, 0, 0, Rebuilding Discovery Order
240, 5, AI, 0, 0, 0, Rebuilding Discovery Order
241, 0, Human, 0, 0, 0, Rebuilding Discovery Order
241, 1, AI, 0, 0, 0, Rebuilding Discovery Order
241, 2, AI, 0, 0, 0, Rebuilding Discovery Order
241, 3, AI, 0, 0, 0, Rebuilding Discovery Order
241, 4, AI, 0, 0, 0, Rebuilding Discovery Order
241, 5, AI, 0, 0, 0, Rebuilding Discovery Order
242, 0, Human, 0, 0, 0, Rebuilding Discovery Order
242, 1, AI, 0, 0, 0, Rebuilding Discovery Order
242, 2, AI, 0, 0, 0, Rebuilding Discovery Order
242, 3, AI, 0, 0, 0, Rebuilding Discovery Order
242, 4, AI, 0, 0, 0, Rebuilding Discovery Order
242, 5, AI, 0, 0, 0, Rebuilding Discovery Order
243, 0, Human, 0, 0, 0, Rebuilding Discovery Order
243, 1, AI, 0, 0, 0, Rebuilding Discovery Order
243, 2, AI, 0, 0, 0, Rebuilding Discovery Order
243, 3, AI, 0, 0, 0, Rebuilding Discovery Order
243, 4, AI, 0, 0, 0, Rebuilding Discovery Order
243, 5, AI, 0, 0, 0, Rebuilding Discovery Order
244, 0, Human, 0, 0, 0, Rebuilding Discovery Order
244, 1, AI, 0, 0, 0, Rebuilding Discovery Order
244, 2, AI, 0, 0, 0, Rebuilding Discovery Order
244, 3, AI, 0, 0, 0, Rebuilding Discovery Order
244, 4, AI, 0, 0, 0, Rebuilding Discovery Order
244, 5, AI, 0, 0, 0, Rebuilding Discovery Order
245, 0, Human, 0, 0, 0, Rebuilding Discovery Order
245, 1, AI, 0, 0, 0, Rebuilding Discovery Order
245, 2, AI, 0, 0, 0, Rebuilding Discovery Order
245, 3, AI, 0, 0, 0, Rebuilding Discovery Order
245, 4, AI, 0, 0, 0, Rebuilding Discovery Order
245, 5, AI, 0, 0, 0, Rebuilding Discovery Order
246, 0, Human, 0, 0, 0, Rebuilding Discovery Order
246, 1, AI, 0, 0, 0, Rebuilding Discovery Order
246, 2, AI, 0, 0, 0, Rebuilding Discovery Order
246, 3, AI, 0, 0, 0, Rebuilding Discovery Order
246, 4, AI, 0, 0, 0, Rebuilding Discovery Order
246, 5, AI, 0, 0, 0, Rebuilding Discovery Order
247, 0, Human, 0, 0, 0, Rebuilding Discovery Order
247, 1, AI, 0, 0, 0, Rebuilding Discovery Order
247, 2, AI, 0, 0, 0, Rebuilding Discovery Order
247, 3, AI, 0, 0, 0, Rebuilding Discovery Order
247, 4, AI, 0, 0, 0, Rebuilding Discovery Order
247, 5, AI, 0, 0, 0, Rebuilding Discovery Order
248, 0, Human, 0, 0, 0, Rebuilding Discovery Order
248, 1, AI, 0, 0, 0, Rebuilding Discovery Order
248, 2, AI, 0, 0, 0, Rebuilding Discovery Order
248, 3, AI, 0, 0, 0, Rebuilding Discovery Order
248, 4, AI, 0, 0, 0, Rebuilding Discovery Order
248, 5, AI, 0, 0, 0, Rebuilding Discovery Order
249, 0, Human, 0, 0, 0, Rebuilding Discovery Order
249, 1, AI, 0, 0, 0, Rebuilding Discovery Order
249, 2, AI, 0, 0, 0, Rebuilding Discovery Order
249, 3, AI, 0, 0, 0, Rebuilding Discovery Order
249, 4, AI, 0, 0, 0, Rebuilding Discovery Order
249, 5, AI, 0, 0, 0, Rebuilding Discovery Order
250, 0, Human, 0, 0, 0, Rebuilding Discovery Order
250, 1, AI, 0, 0, 0, Rebuilding Discovery Order
250, 2, AI, 0, 0, 0, Rebuilding Discovery Order
250, 3, AI, 0, 0, 0, Rebuilding Discovery Order
250, 4, AI, 0, 0, 0, Rebuilding Discovery Order
250, 5, AI, 0, 0, 0, Rebuilding Discovery Order
251, 0, Human, 0, 0, 0, Rebuilding Discovery Order
251, 1, AI, 0, 0, 0, Rebuilding Discovery Order
251, 2, AI, 0, 0, 0, Rebuilding Discovery Order
251, 3, AI, 0, 0, 0, Rebuilding Discovery Order
251, 4, AI, 0, 0, 0, Rebuilding Discovery Order
251, 5, AI, 0, 0, 0, Rebuilding Discovery Order
252, 0, Human, 0, 0, 0, Rebuilding Discovery Order
252, 1, AI, 0, 0, 0, Rebuilding Discovery Order
252, 2, AI, 0, 0, 0, Rebuilding Discovery Order
252, 3, AI, 0, 0, 0, Rebuilding Discovery Order
252, 4, AI, 0, 0, 0, Rebuilding Discovery Order
252, 5, AI, 0, 0, 0, Rebuilding Discovery Order
253, 0, Human, 0, 0, 0, Rebuilding Discovery Order
253, 1, AI, 0, 0, 0, Rebuilding Discovery Order
253, 2, AI, 0, 0, 0, Rebuilding Discovery Order
253, 3, AI, 0, 0, 0, Rebuilding Discovery Order
253, 4, AI, 0, 0, 0, Rebuilding Discovery Order
253, 5, AI, 0, 0, 0, Rebuilding Discovery Order
254, 0, Human, 0, 0, 0, Rebuilding Discovery Order
254, 1, AI, 0, 0, 0, Rebuilding Discovery Order
254, 2, AI, 0, 0, 0, Rebuilding Discovery Order
254, 3, AI, 0, 0, 0, Rebuilding Discovery Order
254, 4, AI, 0, 0, 0, Rebuilding Discovery Order
254, 5, AI, 0, 0, 0, Rebuilding Discovery Order
255, 0, Human, 0, 0, 0, Rebuilding Discovery Order
255, 1, AI, 0, 0, 0, Rebuilding Discovery Order
255, 2, AI, 0, 0, 0, Rebuilding Discovery Order
255, 3, AI, 0, 0, 0, Rebuilding Discovery Order
255, 4, AI, 0, 0, 0, Rebuilding Discovery Order
255, 5, AI, 0, 0, 0, Rebuilding Discovery Order
256, 0, Human, 0, 0, 0, Rebuilding Discovery Order
256, 1, AI, 0, 0, 0, Rebuilding Discovery Order
256, 2, AI, 0, 0, 0, Rebuilding Discovery Order
256, 3, AI, 0, 0, 0, Rebuilding Discovery Order
256, 4, AI, 0, 0, 0, Rebuilding Discovery Order
256, 5, AI, 0, 0, 0, Rebuilding Discovery Order
257, 0, Human, 0, 0, 0, Rebuilding Discovery Order
257, 1, AI, 0, 0, 0, Rebuilding Discovery Order
257, 2, AI, 0, 0, 0, Rebuilding Discovery Order
257, 3, AI, 0, 0, 0, Rebuilding Discovery Order
257, 4, AI, 0, 0, 0, Rebuilding Discovery Order
257, 5, AI, 0, 0, 0, Rebuilding Discovery Order
258, 0, Human, 0, 0, 0, Rebuilding Discovery Order
258, 1, AI, 0, 0, 0, Rebuilding Discovery Order
258, 2, AI, 0, 0, 0, Rebuilding Discovery Order
258, 3, AI, 0, 0, 0, Rebuilding Discovery Order
258, 4, AI, 0, 0, 0, Rebuilding Discovery Order
258, 5, AI, 0, 0, 0, Rebuilding Discovery Order
259, 0, Human, 0, 0, 0, Rebuilding Discovery Order
259, 1, AI, 0, 0, 0, Rebuilding Discovery Order
259, 2, AI, 0, 0, 0, Rebuilding Discovery Order
259, 3, AI, 0, 0, 0, Rebuilding Discovery Order
259, 4, AI, 0, 0, 0, Rebuilding Discovery Order
259, 5, AI, 0, 0, 0, Rebuilding Discovery Order
260, 0, Human, 0, 0, 0, Rebuilding Discovery Order
260, 1, AI, 0, 0, 0, Rebuilding Discovery Order
260, 2, AI, 0, 0, 0, Rebuilding Discovery Order
260, 3, AI, 0, 0, 0, Rebuilding Discovery Order
260, 4, AI, 0, 0, 0, Rebuilding Discovery Order
260, 5, AI, 0, 0, 0, Rebuilding Discovery Order
261, 0, Human, 0, 0, 0, Rebuilding Discovery Order
261, 1, AI, 0, 0, 0, Rebuilding Discovery Order
261, 2, AI, 0, 0, 0, Rebuilding Discovery Order
261, 3, AI, 0, 0, 0, Rebuilding Discovery Order
261, 4, AI, 0, 0, 0, Rebuilding Discovery Order
261, 5, AI, 0, 0, 0, Rebuilding Discovery Order
262, 0, Human, 0, 0, 0, Rebuilding Discovery Order
262, 1, AI, 0, 0, 0, Rebuilding Discovery Order
262, 2, AI, 0, 0, 0, Rebuilding Discovery Order
262, 3, AI, 0, 0, 0, Rebuilding Discovery Order
262, 4, AI, 0, 0, 0, Rebuilding Discovery Order
262, 5, AI, 0, 0, 0, Rebuilding Discovery Order
263, 0, Human, 0, 0, 0, Rebuilding Discovery Order
263, 1, AI, 0, 0, 0, Rebuilding Discovery Order
263, 2, AI, 0, 0, 0, Rebuilding Discovery Order
263, 3, AI, 0, 0, 0, Rebuilding Discovery Order
263, 4, AI, 0, 0, 0, Rebuilding Discovery Order
263, 5, AI, 0, 0, 0, Rebuilding Discovery Order
264, 0, Human, 0, 0, 0, Rebuilding Discovery Order
264, 1, AI, 0, 0, 0, Rebuilding Discovery Order
