Turn, Event, Origin Civ, Destination Civ, Total Tokens Given
228, Token used by 1, 1, 9, 2
228, Token used by 1, 1, 9, 3
229, Token used by 5, 5, 9, 3
229, Token used by 5, 5, 9, 4
232, Token used by 2, 2, 13, 4
232, Unique Bonus received by 2, 2, 13, 4
232, Token used by 2, 2, 13, 5
235, Token used by 1, 1, 9, 4
235, Token used by 1, 1, 9, 5
235, Token used by 3, 3, 12, 1
242, Token used by 3, 3, 13, 4
242, Token used by 3, 3, 13, 5
243, Token used by 1, 1, 9, 6
243, Token used by 4, 4, 8, 5
243, Token used by 4, 4, 8, 6
251, Token used by 1, 1, 13, 4
251, Token used by 1, 1, 13, 5
251, Token used by 1, 1, 13, 6
251, Unique Bonus received by 1, 1, 13, 6
254, Token used by 2, 2, 7, 2
256, Token used by 4, 4, 14, 2
259, Token used by 5, 5, 9, 5
265, Token used by 3, 3, 13, 6
265, Token used by 3, 3, 13, 7
265, Unique Bonus received by 3, 3, 13, 7
265, Token used by 5, 5, 8, 1
274, Token used by 5, 5, 7, 1
275, Token used by 1, 1, 11, 1
275, Token used by 1, 1, 11, 2
275, Token used by 1, 1, 11, 3
276, Token used by 1, 1, 7, 1
276, Token used by 1, 1, 7, 2
278, Token used by 1, 1, 7, 3
280, Token used by 1, 1, 12, 2
283, Token used by 4, 4, 11, 1
283, Token used by 4, 4, 11, 2
287, Token used by 2, 2, 13, 6
288, Token used by 3, 3, 14, 2
288, Token used by 3, 3, 14, 3
291, Token used by 3, 3, 14, 4
291, Unique Bonus received by 3, 3, 14, 4
291, Token used by 3, 3, 14, 5
291, Token used by 5, 5, 9, 6
294, Token used by 1, 1, 8, 4
295, Token used by 5, 5, 9, 7
296, Token used by 4, 4, 6, 4
297, Token used by 5, 5, 6, 1
299, Token used by 2, 2, 8, 1
299, Token used by 2, 2, 8, 2
304, Token used by 1, 1, 14, 4
304, Token used by 1, 1, 14, 5
305, Token used by 4, 4, 9, 1
305, Token used by 4, 4, 9, 2
307, Token used by 5, 5, 13, 4
307, Token used by 5, 5, 13, 5
310, Token used by 2, 2, 6, 1
310, Token used by 3, 3, 14, 6
310, Unique Bonus received by 3, 3, 14, 6
310, Token used by 3, 3, 14, 7
313, Token used by 4, 4, 9, 3
313, Token used by 4, 4, 9, 4
315, Token used by 5, 5, 13, 6
315, Token used by 5, 5, 13, 7
321, Token used by 2, 2, 7, 3
323, Token used by 4, 4, 7, 1
323, Token used by 4, 4, 7, 2
323, Token used by 5, 5, 14, 1
328, Token used by 1, 1, 14, 6
328, Token used by 1, 1, 14, 7
329, Token used by 2, 2, 7, 4
329, Token used by 2, 2, 7, 5
329, Unique Bonus received by 2, 2, 7, 5
332, Token used by 3, 3, 7, 5
332, Token used by 3, 3, 7, 6
332, Unique Bonus received by 3, 3, 7, 6
340, Token used by 5, 5, 11, 4
340, Unique Bonus received by 5, 5, 11, 4
340, Token used by 5, 5, 11, 5
340, Token used by 5, 5, 11, 6
342, Token used by 3, 3, 8, 2
342, Token used by 3, 3, 8, 3
343, Token used by 4, 4, 7, 3
343, Token used by 4, 4, 7, 4
345, Token used by 2, 2, 14, 3
347, Token used by 2, 2, 7, 6
347, Token used by 2, 2, 7, 7
347, Unique Bonus received by 2, 2, 7, 7
352, Token used by 1, 1, 12, 3
352, Token used by 1, 1, 12, 4
352, Unique Bonus received by 1, 1, 12, 4
353, Token used by 2, 2, 13, 7
