Game Turn, Player, Score, CATEGORY_CIVICS, CATEGORY_EMPIRE, CATEGORY_GREAT_PEOPLE, CATEGORY_RELIGION, CATEGORY_TECH, CATEGORY_WONDER, CATEGORY_TRADE, CATEGORY_PILLAGE, CATEGORY_INCOME, CATEGORY_SCENARIO1, CATEGORY_SCENARIO2, CATEGORY_SCENARIO3
227, 1, 235, 46, 95, 21, 6, 62, 5, 0, 0, 0, 0, 0, 0
227, 2, 261, 32, 119, 21, 8, 76, 5, 0, 0, 0, 0, 0, 0
227, 3, 200, 36, 69, 18, 8, 64, 5, 0, 0, 0, 0, 0, 0
227, 4, 148, 32, 49, 12, 4, 46, 5, 0, 0, 0, 0, 0, 0
227, 5, 194, 36, 94, 3, 0, 56, 5, 0, 0, 0, 0, 0, 0
227, 6, 104, 36, 18, 0, 0, 50, 0, 0, 0, 0, 0, 0, 0
227, 7, 108, 36, 16, 0, 0, 56, 0, 0, 0, 0, 0, 0, 0
227, 8, 115, 36, 21, 0, 0, 58, 0, 0, 0, 0, 0, 0, 0
227, 9, 110, 36, 18, 0, 0, 56, 0, 0, 0, 0, 0, 0, 0
227, 11, 106, 36, 18, 0, 0, 52, 0, 0, 0, 0, 0, 0, 0
227, 12, 104, 36, 14, 0, 0, 54, 0, 0, 0, 0, 0, 0, 0
227, 13, 111, 36, 21, 0, 0, 54, 0, 0, 0, 0, 0, 0, 0
227, 14, 109, 36, 19, 0, 0, 54, 0, 0, 0, 0, 0, 0, 0
227, 63, 90, 34, 0, 0, 0, 56, 0, 0, 0, 0, 0, 0, 0
228, 0, 147, 28, 62, 9, 0, 48, 0, 0, 0, 0, 0, 0, 0
228, 1, 235, 46, 95, 21, 6, 62, 5, 0, 0, 0, 0, 0, 0
228, 2, 261, 32, 119, 21, 8, 76, 5, 0, 0, 0, 0, 0, 0
228, 3, 200, 36, 69, 18, 8, 64, 5, 0, 0, 0, 0, 0, 0
228, 4, 148, 32, 49, 12, 4, 46, 5, 0, 0, 0, 0, 0, 0
228, 5, 196, 36, 94, 3, 0, 58, 5, 0, 0, 0, 0, 0, 0
228, 6, 104, 36, 18, 0, 0, 50, 0, 0, 0, 0, 0, 0, 0
228, 7, 108, 36, 16, 0, 0, 56, 0, 0, 0, 0, 0, 0, 0
228, 8, 115, 36, 21, 0, 0, 58, 0, 0, 0, 0, 0, 0, 0
228, 9, 110, 36, 18, 0, 0, 56, 0, 0, 0, 0, 0, 0, 0
228, 11, 106, 36, 18, 0, 0, 52, 0, 0, 0, 0, 0, 0, 0
228, 12, 106, 36, 14, 0, 0, 56, 0, 0, 0, 0, 0, 0, 0
228, 13, 111, 36, 21, 0, 0, 54, 0, 0, 0, 0, 0, 0, 0
228, 14, 109, 36, 19, 0, 0, 54, 0, 0, 0, 0, 0, 0, 0
228, 63, 92, 34, 0, 0, 0, 58, 0, 0, 0, 0, 0, 0, 0
229, 0, 147, 28, 62, 9, 0, 48, 0, 0, 0, 0, 0, 0, 0
229, 1, 237, 48, 95, 21, 6, 62, 5, 0, 0, 0, 0, 0, 0
229, 2, 270, 34, 126, 21, 8, 76, 5, 0, 0, 0, 0, 0, 0
229, 3, 200, 36, 69, 18, 8, 64, 5, 0, 0, 0, 0, 0, 0
229, 4, 148, 32, 49, 12, 4, 46, 5, 0, 0, 0, 0, 0, 0
229, 5, 196, 36, 94, 3, 0, 58, 5, 0, 0, 0, 0, 0, 0
229, 6, 104, 36, 18, 0, 0, 50, 0, 0, 0, 0, 0, 0, 0
229, 7, 110, 38, 16, 0, 0, 56, 0, 0, 0, 0, 0, 0, 0
229, 8, 117, 38, 21, 0, 0, 58, 0, 0, 0, 0, 0, 0, 0
229, 9, 110, 36, 18, 0, 0, 56, 0, 0, 0, 0, 0, 0, 0
229, 11, 108, 38, 18, 0, 0, 52, 0, 0, 0, 0, 0, 0, 0
229, 12, 110, 38, 14, 0, 0, 58, 0, 0, 0, 0, 0, 0, 0
229, 13, 113, 38, 21, 0, 0, 54, 0, 0, 0, 0, 0, 0, 0
229, 14, 111, 38, 19, 0, 0, 54, 0, 0, 0, 0, 0, 0, 0
229, 63, 94, 36, 0, 0, 0, 58, 0, 0, 0, 0, 0, 0, 0
230, 0, 147, 28, 62, 9, 0, 48, 0, 0, 0, 0, 0, 0, 0
230, 1, 237, 48, 95, 21, 6, 62, 5, 0, 0, 0, 0, 0, 0
230, 2, 272, 34, 126, 21, 8, 78, 5, 0, 0, 0, 0, 0, 0
230, 3, 200, 36, 69, 18, 8, 64, 5, 0, 0, 0, 0, 0, 0
230, 4, 149, 32, 50, 12, 4, 46, 5, 0, 0, 0, 0, 0, 0
230, 5, 198, 36, 94, 3, 0, 60, 5, 0, 0, 0, 0, 0, 0
230, 6, 106, 36, 18, 0, 0, 52, 0, 0, 0, 0, 0, 0, 0
230, 7, 112, 38, 16, 0, 0, 58, 0, 0, 0, 0, 0, 0, 0
230, 8, 117, 38, 21, 0, 0, 58, 0, 0, 0, 0, 0, 0, 0
230, 9, 110, 36, 18, 0, 0, 56, 0, 0, 0, 0, 0, 0, 0
230, 11, 108, 38, 18, 0, 0, 52, 0, 0, 0, 0, 0, 0, 0
230, 12, 112, 38, 14, 0, 0, 60, 0, 0, 0, 0, 0, 0, 0
230, 13, 113, 38, 21, 0, 0, 54, 0, 0, 0, 0, 0, 0, 0
230, 14, 111, 38, 19, 0, 0, 54, 0, 0, 0, 0, 0, 0, 0
230, 63, 96, 36, 0, 0, 0, 60, 0, 0, 0, 0, 0, 0, 0
231, 0, 147, 28, 62, 9, 0, 48, 0, 0, 0, 0, 0, 0, 0
231, 1, 237, 48, 95, 21, 6, 62, 5, 0, 0, 0, 0, 0, 0
231, 2, 275, 34, 126, 24, 8, 78, 5, 0, 0, 0, 0, 0, 0
231, 3, 202, 38, 69, 18, 8, 64, 5, 0, 0, 0, 0, 0, 0
231, 4, 149, 32, 50, 12, 4, 46, 5, 0, 0, 0, 0, 0, 0
231, 5, 198, 36, 94, 3, 0, 60, 5, 0, 0, 0, 0, 0, 0
231, 6, 108, 36, 18, 0, 0, 54, 0, 0, 0, 0, 0, 0, 0
