Game Turn, Player, Num Cities, Population, Techs, Civics, Land Units, corps, Armies, Naval Units, TILES: Owned, Improved, BALANCE: Gold, Faith, YIELDS: Science, Culture, Gold, Faith, Production, Food, BY TYPE: Tiles, Buildings, Districts, Population, Outg
227, CIVILIZATION_EGYPT, 5, 37, 31, 23, 1, 0, 0, 0, 85, 22, 103, 357, 61, 68, 31, 27, 55, 111, 85, 48, 11, 36, 0, 58
227, CIVILIZATION_BRAZIL, 8, 46, 38, 16, 2, 0, 0, 0, 100, 27, 293, 329, 119, 24, 69, 46, 89, 139, 100, 80, 11, 45, 6, 13
227, CIVILIZATION_SCYTHIA, 4, 28, 32, 18, 0, 0, 0, 0, 62, 23, 467, 195, 68, 15, 73, 73, 53, 78, 62, 54, 7, 27, 0, 14
227, CIVILIZATION_JAPAN, 3, 22, 23, 16, 1, 0, 0, 0, 46, 11, 224, 40, 25, 21, 35, 24, 49, 74, 46, 29, 4, 21, 17, 12
227, CIVILIZATION_CHINA, 6, 34, 29, 18, 1, 0, 0, 0, 74, 24, 294, 320, 75, 29, 36, 9, 62, 93, 74, 33, 10, 33, 7, 17
227, CIVILIZATION_BRUSSELS, 1, 10, 25, 18, 1, 0, 0, 1, 9, 5, 1270, 267, 11, 6, 30, 1, 3, 24, 9, 15, 1, 11, 17, 0
227, CIVILIZATION_LA_VENTA, 1, 8, 28, 18, 4, 0, 0, 0, 10, 7, 713, 718, 10, 7, 18, 12, 13, 19, 10, 26, 1, 7, 12, 0
227, CIVILIZATION_KANDY, 1, 10, 29, 18, 1, 0, 0, 0, 10, 3, 424, 1094, 10, 14, 30, 17, 4, 24, 10, 30, 2, 10, 18, 0
227, CIVILIZATION_STOCKHOLM, 1, 10, 28, 18, 1, 0, 0, 0, 13, 4, 41, 228, 16, 6, 7, 0, 8, 27, 13, 21, 1, 10, 0, 0
227, CIVILIZATION_AMSTERDAM, 1, 7, 26, 18, 3, 0, 0, 2, 9, 3, 2027, 263, 9, 7, 33, 0, 5, 15, 9, 15, 2, 7, 17, 0
227, CIVILIZATION_CARTHAGE, 1, 6, 28, 18, 3, 0, 0, 0, 9, 5, 1489, 235, 8, 6, 34, 0, 6, 17, 9, 15, 1, 5, 22, 0
227, CIVILIZATION_SEOUL, 1, 10, 27, 18, 2, 0, 0, 0, 9, 6, 1757, 454, 11, 10, 32, 2, 4, 24, 9, 15, 2, 11, 13, 0
227, CIVILIZATION_NAN_MADOL, 1, 11, 27, 18, 2, 0, 0, 1, 9, 5, 1285, 511, 10, 6, 28, 3, 4, 27, 9, 15, 1, 12, 18, 0
228, CIVILIZATION_NORWAY, 5, 19, 24, 14, 2, 0, 0, 0, 66, 12, 0, 898, 22, 8, 6, 5, 38, 43, 66, 25, 6, 18, 3, 8
228, CIVILIZATION_EGYPT, 5, 37, 31, 24, 1, 0, 0, 0, 85, 22, 107, 385, 64, 62, 28, 28, 51, 111, 85, 48, 11, 36, 0, 58
228, CIVILIZATION_BRAZIL, 8, 46, 38, 17, 2, 0, 0, 0, 100, 27, 330, 376, 119, 24, 69, 46, 99, 139, 100, 80, 11, 45, 6, 13
228, CIVILIZATION_SCYTHIA, 4, 28, 32, 18, 0, 0, 0, 0, 63, 23, 524, 270, 68, 15, 72, 74, 54, 78, 63, 54, 7, 27, 0, 14
228, CIVILIZATION_JAPAN, 3, 22, 23, 16, 1, 0, 0, 0, 46, 12, 242, 64, 25, 21, 30, 24, 50, 74, 46, 29, 4, 21, 17, 12
228, CIVILIZATION_CHINA, 6, 34, 29, 18, 1, 0, 0, 0, 75, 24, 307, 330, 77, 29, 36, 9, 62, 93, 75, 35, 10, 33, 7, 17
228, CIVILIZATION_BRUSSELS, 1, 10, 25, 18, 0, 0, 0, 1, 9, 5, 1293, 269, 9, 6, 24, 1, 3, 24, 9, 15, 1, 11, 8, 0
228, CIVILIZATION_LA_VENTA, 1, 8, 28, 19, 4, 0, 0, 0, 10, 7, 719, 730, 10, 7, 18, 12, 13, 19, 10, 26, 1, 7, 12, 0
228, CIVILIZATION_KANDY, 1, 10, 29, 19, 1, 0, 0, 0, 10, 3, 443, 1110, 9, 13, 24, 16, 3, 22, 10, 30, 2, 10, 9, 0
228, CIVILIZATION_STOCKHOLM, 1, 10, 28, 18, 1, 0, 0, 0, 13, 4, 40, 229, 16, 6, 7, 0, 8, 27, 13, 21, 1, 10, 0, 0
228, CIVILIZATION_AMSTERDAM, 1, 7, 26, 19, 3, 0, 0, 2, 9, 3, 2054, 264, 9, 7, 33, 0, 5, 15, 9, 15, 2, 7, 17, 0
228, CIVILIZATION_CARTHAGE, 1, 6, 29, 19, 3, 0, 0, 0, 9, 5, 1516, 236, 8, 6, 34, 0, 6, 17, 9, 15, 1, 5, 22, 0
228, CIVILIZATION_SEOUL, 1, 10, 27, 19, 2, 0, 0, 0, 9, 6, 1784, 456, 11, 10, 33, 2, 4, 24, 9, 15, 2, 11, 13, 0
228, CIVILIZATION_NAN_MADOL, 1, 11, 27, 19, 2, 0, 0, 1, 9, 5, 1309, 514, 10, 6, 28, 3, 4, 27, 9, 15, 1, 12, 18, 0
229, CIVILIZATION_NORWAY, 5, 19, 24, 14, 2, 0, 0, 0, 66, 12, 143, 904, 23, 9, 7, 5, 42, 43, 66, 25, 6, 18, 3, 8
229, CIVILIZATION_EGYPT, 5, 37, 31, 24, 1, 0, 0, 0, 85, 22, 110, 415, 74, 62, 28, 29, 51, 111, 85, 50, 11, 36, 0, 58
229, CIVILIZATION_BRAZIL, 8, 47, 39, 17, 2, 0, 0, 0, 100, 27, 368, 423, 124, 24, 70, 47, 109, 139, 100, 80, 13, 46, 6, 13
229, CIVILIZATION_SCYTHIA, 4, 28, 32, 18, 0, 0, 0, 0, 63, 23, 580, 124, 68, 15, 72, 74, 54, 78, 63, 54, 7, 27, 0, 14
229, CIVILIZATION_JAPAN, 3, 22, 23, 16, 1, 0, 0, 0, 46, 12, 258, 92, 25, 25, 30, 28, 50, 74, 46, 37, 4, 21, 17, 12
229, CIVILIZATION_CHINA, 6, 34, 30, 18, 1, 0, 0, 0, 75, 24, 320, 339, 77, 29, 36, 9, 62, 93, 75, 35, 10, 33, 7, 29
229, CIVILIZATION_BRUSSELS, 1, 10, 26, 18, 0, 0, 0, 1, 9, 5, 1323, 271, 11, 6, 30, 1, 3, 24, 9, 15, 1, 11, 17, 0
229, CIVILIZATION_LA_VENTA, 1, 8, 29, 19, 4, 0, 0, 0, 10, 7, 709, 743, 10, 7, 18, 12, 13, 19, 10, 26, 1, 7, 12, 0
229, CIVILIZATION_KANDY, 1, 10, 29, 19, 1, 0, 0, 0, 10, 3, 460, 1126, 9, 13, 24, 16, 3, 22, 10, 30, 2, 10, 9, 0
