Game Turn, Range, Value, Seed, Type, Location
227, 1, 0, 4251957003, sync, GetNextBuyablePlot picker
227, 100, 14, 1339587048, sync, City Rebellion Roll
227, 1, 0, 633391105, sync, GetNextBuyablePlot picker
227, 1, 0, 3251349158, sync, GetNextBuyablePlot picker
227, 5, 0, 2598418663, sync, GetNextBuyablePlot picker
227, 1, 0, 330255508, sync, GetNextBuyablePlot picker
227, 12, 11, 2574312253, sync, Unit Combat Damage
227, 2, 1, 4168845106, sync, GetNextBuyablePlot picker
227, 1, 0, 2994076803, sync, GetNextBuyablePlot picker
227, 2, 0, 2139004416, sync, GetNextBuyablePlot picker
227, 4, 1, 286094905, sync, GetNextBuyablePlot picker
227, 3, 2, 1171711102, sync, GetNextBuyablePlot picker
227, 1, 0, 3985759711, sync, GetNextBuyablePlot picker
227, 2, 0, 3526335020, sync, GetNextBuyablePlot picker
227, 3, 1, 1766210805, sync, GetNextBuyablePlot picker
227, 1, 0, 2482555530, sync, GetNextBuyablePlot picker
227, 2, 1, 2137028859, sync, GetNextBuyablePlot picker
227, 1, 0, 3994168600, sync, GetNextBuyablePlot picker
227, 1, 0, 3758797681, sync, GetNextBuyablePlot picker
227, 2, 0, 564200790, sync, GetNextBuyablePlot picker
227, 1, 0, 1471392215, sync, GetNextBuyablePlot picker
227, 4, 1, 143196868, sync, GetNextBuyablePlot picker
227, 1, 0, 1220941229, sync, GetNextBuyablePlot picker
227, 3, 1, 130031842, sync, GetNextBuyablePlot picker
227, 3, 1, 2812218483, sync, GetNextBuyablePlot picker
227, 1, 0, 2826274608, sync, GetNextBuyablePlot picker
227, 1, 0, 1213947817, sync, GetNextBuyablePlot picker
227, 1, 0, 2344839470, sync, GetNextBuyablePlot picker
227, 2, 0, 332659919, sync, GetNextBuyablePlot picker
227, 2, 0, 526640732, sync, GetNextBuyablePlot picker
227, 7, 2, 1424051557, sync, Random Direction
227, 7, 4, 1252059706, sync, Random Direction
227, 7, 2, 2965214955, sync, Random Direction
227, 3, 2, 1769409608, sync, GetNextBuyablePlot picker
227, 12, 0, 4112407265, sync, Unit Combat Damage
227, 3, 1, 144928774, sync, GetNextBuyablePlot picker
227, 5, 0, 2757539527, sync, Random Direction
227, 2, 0, 538223860, sync, GetNextBuyablePlot picker
227, 7, 4, 2076492829, sync, Random Direction
227, 2, 0, 2985723538, sync, GetNextBuyablePlot picker
227, 8, 7, 165935203, sync, Random Direction
227, 4, 0, 3947961440, sync, Random Direction
227, 1, 0, 980321561, sync, Random Direction
227, 1, 0, 3622992350, sync, GetNextBuyablePlot picker
227, 2, 1, 1930672063, sync, GetNextBuyablePlot picker
227, 6, 5, 2652610188, sync, Random Direction
227, 5, 3, 3898169813, sync, BT Research Choice
227, 100, 13, 3072873962, sync, Barbarian Ranged unit roll
227, 12, 10, 592842971, sync, Unit Combat Damage
227, 12, 8, 3911849848, sync, Unit Combat Damage
227, 12, 6, 3101867601, sync, Unit Combat Damage
227, 12, 10, 2452481718, sync, Unit Combat Damage
227, 12, 3, 3768246199, sync, Unit Combat Damage
227, 5, 1, 1353003812, sync, Random Direction
227, 2, 1, 1573121677, sync, Random Direction
227, 17, 16, 3978934338, sync, Random Direction
227, 7, 5, 4126392403, sync, Random Direction
227, 5, 4, 3499384208, sync, Random Direction
227, 13, 12, 4044220041, sync, Random Direction
227, 17, 13, 4129232526, sync, Random Direction
227, 3, 1, 3287289519, sync, Random Direction
227, 5, 2, 1544143548, sync, Random Direction
228, 3, 0, 2196070981, sync, GetNextBuyablePlot picker
228, 1, 0, 637144474, sync, GetNextBuyablePlot picker
228, 1, 0, 4206421707, sync, GetNextBuyablePlot picker
228, 100, 77, 588140200, sync, City Rebellion Roll
228, 3, 2, 3338591681, sync, GetNextBuyablePlot picker
228, 1, 0, 3864750438, sync, GetNextBuyablePlot picker
228, 100, 29, 1508713639, sync, City Rebellion Roll
228, 12, 1, 1263381844, sync, Unit Combat Damage
228, 12, 9, 500864253, sync, Unit Combat Damage
228, 1, 0, 3357849074, sync, GetNextBuyablePlot picker
228, 100, 52, 2453496899, sync, City Rebellion Roll
228, 1, 0, 2273462976, sync, GetNextBuyablePlot picker
228, 1, 0, 4123034617, sync, GetNextBuyablePlot picker
228, 5, 3, 2529443646, sync, GetNextBuyablePlot picker
228, 1, 0, 2764571039, sync, GetNextBuyablePlot picker
228, 2, 0, 3114357484, sync, GetNextBuyablePlot picker
228, 1, 0, 1065117365, sync, GetNextBuyablePlot picker
228, 2, 1, 1413550410, sync, GetNextBuyablePlot picker
228, 4, 2, 3694467259, sync, GetNextBuyablePlot picker
228, 3, 1, 2345054680, sync, GetNextBuyablePlot picker
228, 1, 0, 1926871345, sync, GetNextBuyablePlot picker
228, 2, 0, 3926325270, sync, GetNextBuyablePlot picker
228, 3, 2, 999458199, sync, GetNextBuyablePlot picker
228, 12, 4, 2883654532, sync, Unit Combat Damage
228, 12, 1, 1591719789, sync, Unit Combat Damage
228, 32, 31, 443711394, sync, Choosing a Citizen Name
228, 31, 2, 4277134387, sync, Choosing a Citizen Name
228, 1, 0, 371057648, sync, GetNextBuyablePlot picker
228, 2, 1, 3251461481, sync, GetNextBuyablePlot picker
228, 1, 0, 4280087534, sync, GetNextBuyablePlot picker
228, 1, 0, 2310705295, sync, GetNextBuyablePlot picker
228, 12, 4, 2585087772, sync, Unit Combat Damage
228, 12, 1, 1691707173, sync, Unit Combat Damage
228, 2, 1, 535322874, sync, GetNextBuyablePlot picker
228, 1, 0, 3738805931, sync, GetNextBuyablePlot picker
228, 4, 0, 2260091144, sync, GetNextBuyablePlot picker
228, 1, 0, 932860065, sync, GetNextBuyablePlot picker
228, 3, 1, 4006318790, sync, GetNextBuyablePlot picker
228, 3, 0, 2122973831, sync, GetNextBuyablePlot picker
228, 1, 0, 686974388, sync, GetNextBuyablePlot picker
228, 1, 0, 2808763869, sync, GetNextBuyablePlot picker
228, 1, 0, 878581074, sync, GetNextBuyablePlot picker
228, 2, 1, 1174028323, sync, GetNextBuyablePlot picker
228, 2, 0, 2301241632, sync, GetNextBuyablePlot picker
228, 6, 4, 775647961, sync, Random Direction
228, 6, 4, 3106157726, sync, Random Direction
228, 7, 4, 2896608127, sync, Random Direction
228, 3, 2, 2472064844, sync, GetNextBuyablePlot picker
228, 3, 0, 3580322709, sync, GetNextBuyablePlot picker
228, 9, 4, 932904106, sync, Random Direction
228, 2, 1, 2071302299, sync, GetNextBuyablePlot picker
228, 10, 1, 2516581432, sync, Random Direction
228, 2, 0, 673686545, sync, GetNextBuyablePlot picker
228, 4, 3, 1661221238, sync, Random Direction
228, 6, 4, 3650263927, sync, Random Direction
228, 7, 5, 3285492708, sync, Random Direction
228, 1, 0, 3520163917, sync, GetNextBuyablePlot picker
228, 2, 0, 2398254850, sync, GetNextBuyablePlot picker
228, 8, 1, 1259042835, sync, Random Direction
228, 12, 10, 606739024, sync, Unit Combat Damage
228, 3, 0, 3822175305, sync, Random Direction
228, 5, 4, 1133838670, sync, Random Direction
228, 3, 0, 4247487087, sync, Random Direction
228, 17, 8, 505318268, sync, Random Direction
228, 8, 6, 2137611269, sync, Random Direction
228, 13, 6, 3401835610, sync, Random Direction
228, 6, 3, 2090325643, sync, Random Direction
228, 13, 4, 2324095848, sync, Random Direction
228, 12, 6, 1596502913, sync, Random Direction
228, 6, 4, 2177625126, sync, Random Direction
228, 4, 3, 2972405863, sync, Random Direction
228, 11, 5, 4170894868, sync, Random Direction
229, 3, 1, 2083260093, sync, GetNextBuyablePlot picker
229, 1, 0, 2080023730, sync, GetNextBuyablePlot picker
229, 1, 0, 3146943491, sync, GetNextBuyablePlot picker
229, 100, 79, 2439034752, sync, City Rebellion Roll
229, 3, 2, 3407303097, sync, GetNextBuyablePlot picker
229, 1, 0, 3253361150, sync, GetNextBuyablePlot picker
229, 100, 77, 279438687, sync, City Rebellion Roll
229, 12, 9, 3319385004, sync, Unit Combat Damage
229, 12, 2, 3436335221, sync, Unit Combat Damage
229, 12, 11, 965613578, sync, Unit Combat Damage
229, 12, 8, 4002379899, sync, Unit Combat Damage
229, 1, 0, 3018716824, sync, GetNextBuyablePlot picker
229, 100, 1, 1862565617, sync, City Rebellion Roll
229, 1, 0, 50178774, sync, GetNextBuyablePlot picker
229, 1, 0, 127082839, sync, GetNextBuyablePlot picker
229, 5, 2, 3994543172, sync, GetNextBuyablePlot picker
229, 1, 0, 2018580781, sync, GetNextBuyablePlot picker
229, 12, 11, 3590430306, sync, Unit Combat Damage
229, 2, 0, 4273896435, sync, GetNextBuyablePlot picker
229, 1, 0, 298909872, sync, GetNextBuyablePlot picker
229, 2, 1, 2085821225, sync, GetNextBuyablePlot picker
229, 4, 0, 2891923118, sync, GetNextBuyablePlot picker
229, 3, 1, 305849423, sync, GetNextBuyablePlot picker
229, 1, 0, 1488811996, sync, GetNextBuyablePlot picker
229, 2, 1, 324616421, sync, GetNextBuyablePlot picker
229, 3, 0, 3303315386, sync, GetNextBuyablePlot picker
229, 12, 0, 258700907, sync, Unit Combat Damage
229, 12, 9, 278410696, sync, Unit Combat Damage
229, 1, 0, 3521250913, sync, GetNextBuyablePlot picker
229, 2, 0, 3409212806, sync, GetNextBuyablePlot picker
229, 1, 0, 1825115719, sync, GetNextBuyablePlot picker
229, 1, 0, 2782848628, sync, GetNextBuyablePlot picker
229, 12, 8, 1003988893, sync, Unit Combat Damage
229, 12, 1, 2958189586, sync, Unit Combat Damage
229, 2, 1, 629032931, sync, GetNextBuyablePlot picker
229, 1, 0, 2906519008, sync, GetNextBuyablePlot picker
229, 4, 1, 2945196185, sync, GetNextBuyablePlot picker
229, 1, 0, 2146348894, sync, GetNextBuyablePlot picker
229, 3, 0, 2999156543, sync, GetNextBuyablePlot picker
229, 3, 0, 398233612, sync, GetNextBuyablePlot picker
229, 1, 0, 74788181, sync, GetNextBuyablePlot picker
229, 1, 0, 1047683946, sync, GetNextBuyablePlot picker
229, 1, 0, 1056624731, sync, GetNextBuyablePlot picker
229, 35, 12, 2108203256, sync, Choosing a Citizen Name
229, 34, 20, 1504201169, sync, Choosing a Citizen Name
229, 33, 30, 2613791798, sync, Choosing a Citizen Name
229, 32, 5, 4002158391, sync, Choosing a Citizen Name
229, 2, 0, 742577316, sync, GetNextBuyablePlot picker
229, 2, 0, 1343664653, sync, GetNextBuyablePlot picker
229, 6, 5, 116913602, sync, Random Direction
229, 5, 1, 3665883091, sync, Random Direction
229, 6, 4, 1646958352, sync, Random Direction
229, 6, 2, 2894684681, sync, Random Direction
229, 3, 0, 1850977294, sync, GetNextBuyablePlot picker
229, 6, 5, 417379887, sync, Random Direction
229, 3, 0, 3867808828, sync, GetNextBuyablePlot picker
229, 8, 5, 492639685, sync, Random Direction
229, 2, 1, 3097656090, sync, GetNextBuyablePlot picker
229, 6, 5, 4006381131, sync, Random Direction
229, 2, 1, 3875682344, sync, GetNextBuyablePlot picker
229, 6, 4, 2684242241, sync, Random Direction
229, 8, 0, 3269275366, sync, Random Direction
229, 7, 5, 140196903, sync, Random Direction
229, 1, 0, 3361124052, sync, GetNextBuyablePlot picker
229, 2, 0, 3257219197, sync, GetNextBuyablePlot picker
229, 7, 2, 1857901426, sync, Random Direction
229, 14, 4, 1379234755, sync, Random Direction
229, 5, 3, 1440343104, sync, BT Research Choice
229, 6, 0, 3134316409, sync, Random Direction
229, 4, 3, 235484350, sync, Random Direction
229, 2, 0, 3505490207, sync, Random Direction
229, 17, 1, 2073625708, sync, Random Direction
229, 6, 1, 386398773, sync, Random Direction
229, 14, 7, 916446922, sync, Random Direction
229, 4, 1, 2452592699, sync, Random Direction
229, 15, 6, 2001206104, sync, Random Direction
229, 8, 6, 1984627889, sync, Random Direction
229, 17, 9, 3410304406, sync, Random Direction
229, 7, 1, 2473950487, sync, Random Direction
229, 4, 2, 736982276, sync, Random Direction
229, 7, 5, 2463775469, sync, Random Direction
230, 3, 0, 3308092706, sync, GetNextBuyablePlot picker
230, 1, 0, 986370995, sync, GetNextBuyablePlot picker
230, 1, 0, 72277360, sync, GetNextBuyablePlot picker
230, 100, 4, 2444007657, sync, City Rebellion Roll
230, 3, 2, 172640622, sync, GetNextBuyablePlot picker
230, 1, 0, 3172268047, sync, GetNextBuyablePlot picker
230, 100, 33, 2417778844, sync, City Rebellion Roll
230, 12, 4, 1445780133, sync, Unit Combat Damage
230, 12, 6, 1549110906, sync, Unit Combat Damage
230, 12, 9, 2385708587, sync, Unit Combat Damage
230, 12, 4, 3353143944, sync, Unit Combat Damage
230, 1, 0, 1437957153, sync, GetNextBuyablePlot picker
230, 1, 0, 748558406, sync, GetNextBuyablePlot picker
230, 5, 3, 3067730439, sync, GetNextBuyablePlot picker
230, 5, 0, 2744788788, sync, GetNextBuyablePlot picker
230, 1, 0, 650951005, sync, GetNextBuyablePlot picker
230, 9, 6, 3767759570, sync, Random Promotion
230, 8, 3, 2888830883, sync, Random Promotion
230, 7, 5, 1884062368, sync, Random Promotion
230, 6, 4, 3357576793, sync, Random Promotion
230, 5, 0, 3541166622, sync, Random Promotion
230, 4, 0, 86639359, sync, Random Promotion
230, 3, 1, 268904652, sync, Random Promotion
230, 2, 0, 1531098901, sync, Random Promotion
230, 1, 0, 510560810, sync, Random Promotion
230, 12, 0, 698732571, sync, Unit Combat Damage
230, 12, 9, 283379128, sync, Unit Combat Damage
230, 2, 1, 3475287953, sync, GetNextBuyablePlot picker
230, 1, 0, 4215480054, sync, GetNextBuyablePlot picker
230, 1, 0, 3611775735, sync, GetNextBuyablePlot picker
230, 4, 2, 1185924452, sync, GetNextBuyablePlot picker
230, 3, 0, 3058938829, sync, GetNextBuyablePlot picker
230, 1, 0, 1073362050, sync, GetNextBuyablePlot picker
230, 2, 0, 403974035, sync, GetNextBuyablePlot picker
230, 3, 0, 1398133712, sync, GetNextBuyablePlot picker
230, 3, 0, 1156890569, sync, Generating a random new Great Person
230, 1, 0, 1293620942, sync, GetNextBuyablePlot picker
230, 2, 0, 114272751, sync, GetNextBuyablePlot picker
230, 1, 0, 1242324220, sync, GetNextBuyablePlot picker
230, 1, 0, 847286149, sync, GetNextBuyablePlot picker
230, 2, 0, 1918226906, sync, GetNextBuyablePlot picker
230, 1, 0, 2098656779, sync, GetNextBuyablePlot picker
230, 4, 3, 1497386216, sync, GetNextBuyablePlot picker
230, 1, 0, 4215250689, sync, GetNextBuyablePlot picker
230, 3, 1, 2555326886, sync, GetNextBuyablePlot picker
230, 3, 0, 2268915687, sync, GetNextBuyablePlot picker
230, 1, 0, 658591636, sync, GetNextBuyablePlot picker
230, 1, 0, 3179686461, sync, GetNextBuyablePlot picker
230, 1, 0, 3140272690, sync, GetNextBuyablePlot picker
230, 1, 0, 971381635, sync, GetNextBuyablePlot picker
230, 2, 1, 1303236864, sync, GetNextBuyablePlot picker
230, 7, 3, 2930781497, sync, Random Direction
230, 6, 1, 2178994046, sync, Random Direction
230, 8, 0, 1164242143, sync, Random Direction
230, 4, 3, 530513196, sync, Random Direction
230, 3, 2, 3822937077, sync, GetNextBuyablePlot picker
230, 3, 1, 4264977802, sync, GetNextBuyablePlot picker
230, 6, 3, 1658157051, sync, Random Direction
230, 2, 1, 2794766360, sync, GetNextBuyablePlot picker
230, 8, 3, 3933031025, sync, Random Direction
230, 2, 0, 1637699670, sync, GetNextBuyablePlot picker
230, 9, 4, 1996069079, sync, Random Direction
230, 7, 2, 2183251396, sync, Random Direction
230, 8, 1, 1815813293, sync, Random Direction
230, 1, 0, 850795490, sync, GetNextBuyablePlot picker
230, 2, 0, 114617203, sync, GetNextBuyablePlot picker
230, 5, 4, 374831664, sync, Random Direction
230, 11, 3, 3684292265, sync, Random Direction
230, 7, 2, 1335759918, sync, Random Direction
230, 6, 1, 1510525903, sync, Random Direction
230, 2, 1, 888277340, sync, Random Direction
230, 16, 12, 3809490021, sync, Random Direction
230, 5, 2, 3371910458, sync, Random Direction
230, 19, 3, 1727026667, sync, Random Direction
230, 5, 0, 759455560, sync, Random Direction
230, 13, 4, 349483489, sync, Random Direction
230, 9, 3, 1640528646, sync, Random Direction
230, 8, 7, 1685874119, sync, Random Direction
230, 4, 0, 4007929844, sync, Random Direction
230, 5, 1, 369724189, sync, Random Direction
231, 3, 1, 1071726994, sync, GetNextBuyablePlot picker
231, 1, 0, 2647627619, sync, GetNextBuyablePlot picker
231, 1, 0, 2870333280, sync, GetNextBuyablePlot picker
231, 100, 9, 1102625817, sync, City Rebellion Roll
231, 3, 2, 424535262, sync, GetNextBuyablePlot picker
231, 1, 0, 3818538687, sync, GetNextBuyablePlot picker
231, 100, 49, 553157004, sync, City Rebellion Roll
231, 12, 10, 2140143829, sync, Unit Combat Damage
231, 12, 8, 3931074794, sync, Unit Combat Damage
231, 12, 6, 3073806299, sync, Unit Combat Damage
231, 12, 9, 2154965624, sync, Unit Combat Damage
231, 1, 0, 3395081553, sync, GetNextBuyablePlot picker
231, 1, 0, 2863542, sync, GetNextBuyablePlot picker
231, 5, 2, 193220279, sync, GetNextBuyablePlot picker
231, 5, 3, 2413524516, sync, GetNextBuyablePlot picker
231, 1, 0, 2722657677, sync, GetNextBuyablePlot picker
231, 12, 2, 3837342530, sync, Unit Combat Damage
231, 2, 1, 931471187, sync, GetNextBuyablePlot picker
231, 1, 0, 2154549392, sync, GetNextBuyablePlot picker
231, 1, 0, 1725160841, sync, GetNextBuyablePlot picker
231, 4, 1, 1990934926, sync, GetNextBuyablePlot picker
231, 3, 1, 1991794095, sync, GetNextBuyablePlot picker
231, 1, 0, 2640668092, sync, GetNextBuyablePlot picker
231, 2, 0, 1418971461, sync, GetNextBuyablePlot picker
231, 3, 0, 983427226, sync, GetNextBuyablePlot picker
231, 1, 0, 322381259, sync, GetNextBuyablePlot picker
231, 2, 1, 3254854056, sync, GetNextBuyablePlot picker
231, 1, 0, 2729227457, sync, GetNextBuyablePlot picker
231, 1, 0, 2967598182, sync, GetNextBuyablePlot picker
231, 2, 0, 361780135, sync, GetNextBuyablePlot picker
231, 1, 0, 1109045332, sync, GetNextBuyablePlot picker
231, 4, 0, 4228832253, sync, GetNextBuyablePlot picker
231, 1, 0, 1007218930, sync, GetNextBuyablePlot picker
231, 3, 2, 375685955, sync, GetNextBuyablePlot picker
231, 3, 0, 2979823040, sync, GetNextBuyablePlot picker
231, 1, 0, 1349663481, sync, GetNextBuyablePlot picker
231, 1, 0, 3828427326, sync, GetNextBuyablePlot picker
231, 1, 0, 2378305695, sync, GetNextBuyablePlot picker
231, 1, 0, 3064706540, sync, GetNextBuyablePlot picker
231, 2, 0, 3105000885, sync, GetNextBuyablePlot picker
231, 6, 4, 51489866, sync, Random Direction
231, 5, 4, 3158382523, sync, Random Direction
231, 7, 6, 3532932312, sync, Random Direction
231, 6, 3, 3979038769, sync, Random Direction
231, 3, 0, 2764456726, sync, GetNextBuyablePlot picker
231, 3, 2, 165639319, sync, GetNextBuyablePlot picker
231, 4, 2, 3446986372, sync, Random Direction
231, 2, 0, 2184429165, sync, GetNextBuyablePlot picker
231, 3, 1, 693861026, sync, Random Direction
231, 2, 0, 1989985075, sync, GetNextBuyablePlot picker
231, 5, 4, 816502512, sync, Random Direction
231, 4, 1, 4091204713, sync, Random Direction
231, 8, 3, 1931124462, sync, Random Direction
231, 1, 0, 2027315087, sync, GetNextBuyablePlot picker
231, 2, 0, 4227756572, sync, GetNextBuyablePlot picker
231, 3, 2, 801328677, sync, Random Direction
231, 9, 3, 2912271354, sync, Random Direction
